ID,Sual,A,B,C,D,E,correct
1,1. İdman biokimyası hansı elmlərlə qarşılıqlı əlaqədədir?,"idman fiziologiyası, idman təbabəti, idman gigiyenası","anatomiya, idman fiziologiyası, gigiyena, idman təbabəti","anatomiya, idman fiziologiyası, idman təbabəti, psixologiya","idman fiziologiyası, psixologiya, idman təbabəti","anatomiya, idman fiziologiyası, idman gigiyenası",B
2,2. Funksional biokimya elmi nəyi öyrənir?,maddələr mübadiləsi və enerji mübadiləsi proseslərini,orqanizmdə olan bütün kimyəvi birləşmələrin miqdarını və funksiyasını,metabolizm prosesləri ilə orqanizmin funksiyaları arasındakı əlaqələri,orqanizmdə olan bütün kimyəvi birləşmələrin quruluşunu və funksiyasını,yalnız enerji mübadiləsi proseslərini,C
3,3. Bioloji kimya fənni nəyi öyrənir?,insan orqanizminin kimyəvi tərkibini öyrənir,"insan, heyvan və bitkilərin kimyəvi tərkibini öyrənir",energetik mübadiləni və maddələr mübadiləsini öyrənir,mikroorqanizmlərdə baş verən kimyəvi prosesləri öyrənir,bütün canlı orqanizmlərin kimyəvi tərkibini öyrənir,E
4,4. Müasir bioloji kimyanın hansı bölmələri vardır?,"statik, dinamik və funksional","funksional, üzvi və qeyri-üzvi","üzvi, statik və dinamik",farmokoloji və funksional,funksional və dinamik,A
5,5. Kalium elementi haqqında hansı ifadə düzdür?,zülalların sintezində iştirak edir,eninəzolaqlı və saya əzələlərin tonusunu azaldır,hemoqlobinin sintezinde iştirak edir,ürək işinin nizama salınmasında mühüm rol oynayır,normadan artıqlığı insan orqanizminə toksiki təsir göstərmir,D
6,6. Maddələr mübadiləsi prosesi nədən ibarətdir?,yalnız enerji mübadiləsindən ibarətdir,"qidalanma, sintez və parçalanma proseslərinin qarşılıqlı əlaqəsindən ibarətdir","qidalanma, sintez və ifrazetmə proseslərinin qarşılıqlı əlaqəsindən ibarətdir","qidalanma və ifrazetmə, sintez və parçalanma proseslərinin qarşılıqlı əlaqəsindən ibarətdir",yalnız assimilyasiya proseslərindən ibarətdir,D
7,7. Spirtlərin funksional qrupu hansılardır?,OH,CH3,COH,COOH,NH,A
8,8. Aminturşuların tərkibində hansı funksional qruplar vardır?,"OH, COOH","CH2, CH3",NH2; COOH,NH; COOH,"NH, OH",C
9,9. Hansı üzvi maddələrin tərkibində amin qrupuna rast gəlinmir?,zülallar,karbohidratlar,azot əsasları,aminturşuları,neytral yağlar,E
10,10. Sümük toxuması və dişlərin tərkibinə hansı qeyri-üzvi birləşmələr daxildir?,"Ca SO4, Ca CO3; H2 CO3; Al(OH)3",Ca(PO4)2; Ca CO3; Ca F2; Na3 PO4; Mg3(PO4)2,K2 SO4; Ca F2; Ca Cl2; Na2 SO4,HCl; H2 CO3; H3 PO4,Mg2 SO4; Ca SO4; Na Cl; Ca Cl2; Na3 PO4,B
11,11. İnsan orqanizminin toxumalarında su hansı funksiyanı yerinə yetirir?,suyun hormonal əhəmiyyəti vardır və bütün maddələrin universial,katalizator funksiyasını yerinə yetirir və bütün maddələrin universial daşıyıcısıdır,orqanizmdə mübadilə məhsullarının və başqa maddələrin universal daşıyıcısıdır,turş-qələvi məhsullar orqanizmdən su vasitəsilə xaric edilir,su orqanizmdəki lipid maddələrinin həlledicisidir,C
12,12. Mürəkkəb birləşmələrdən sadə üzvi birləşmələrin əmələ gəlməsi necə adlanır?,energetik balans,dissimilyasiya,əsas mübadilə,assimilyasiya,ümumi mübadilə,B
13,13. Sadə birləşmələrdən mürəkkəb üzvi birləşmələrin əmələ gəlməsi necə adlanır?,dissimilyasiya,işçi mübadilə,assimilyasiya,əsas mübadilə,transkripsiya,C
14,14. Böyümə və inkişaf dövründə hansı proses baş verir?,dissimilyasiya prosesi üstünlük təşkil edir,assimilyasiya prossesi üstünlük təşkil edir,parçalanma və ifrazetmə prosesləri üstünlük təşkil edir,su-duz mübadiləsi zəifləyir,qanın osmos təzyiqi artıq,B
15,15. Qocalıq dövründə hansı proses baş verir?,dissimilyasiya prosesi zəifləyir,dissimilyasiya prossesi sürətlənir,assimilyasiya prosesi üstünlük təşkil edir,energetik mübadilə sürətlənir,fermentlərin sintezi sürətlənir,B
16,16. Əzələ toxumasının kimyəvi tərkibi hansı maddələrdən ibarətdir?,yalnız üzvi maddələrdən,"su, üzvi və qeyri-üzvi maddələrdən",su və qeyri-üzvi maddələrdən,yalnız amin turşulardan,azotlu üzvi birləşmələrdən,B
17,"17. Hansı üzvi maddələr əzələ toxumasının kimyəvi tərkibini təşkil edir? 1.karbohidratlar, lipidlər 2.aminturşular, zülallar 3.fosfat turşusu, kreatinfosfat, ATF 4.fosfat turşusu, zülallar, ATF","2,3","1,4","1,2","2,4","3,4",C
18,18. Əzələ toxumasının 72-80%-i nədən təşkil olunmuşdur?,qeyri üzvi maddələrdən,karbohidratlardan,sudan,zülallardan,amin turşularından,C
19,19. Skelet əzələlərində neçə növ liflər vardır?,1,3,5,2,4,B
20,20. Əzələ liflərinin yığılmasında hansı zülallar iştirak edir?,kollagen,"aktin, miokinaza","aktin, miozin",kreatin,"elastin, kollagen",C
21,21. Sarkoplazma zülalları əzələ toxumasında hansı funksiyanı yerinə yetirir?,təqəllüs,struktur,mübadilə,müdafiə,ehtiyat,C
22,22. Miofibrillərin əzələ toxumasında rolu nədir?,müdafiə funksiyasını yerinə yetirirlər,əzələ təqəllüsünü yerinə yetirirlər,mübadilə proseslərini yerinə yetirirlər,nəqliyyat funksiyasını yerinə yetirirlər,ehtiyat funksiyasını yerinə yetirirlər,B
23,23. Stroma zülalları əzələ toxumasında hansı funksiyaları yerinə yetirir?,ehtiyat,quruluş-struktur,mübadilə,tənəffüs,təqəllüs,B
24,24. Əzələ təqəllüsündə Ca2+ ionunun rolu nədir?,ATF-in əzələ liflərində parçalanmasını təmin edir,əzələ liflərinə hərəki sinir siqnalını ötürür,əzələ liflərinə duyğu sinir impluslarını ötürür,təqəllüsdə iştirak edən zülalları inaktivləşdirir,Ca2+ ionunun əzələ təqəllüsündə heç biri rolu yoxdur,B
25,25. Əzələ lifinin quruluş vahidi nədir?,lipoproteidlər,polisaxaridlər,miofibrillər,bioloji membranlar,hər biri,C
26,26. Tropomiozin zülalı aşağıdakı funksiyalardan hansını yerinə yetirir?,energetik maddə rolunu oynayır,Ca2+ ionlarının miqdarını azaldır,aktin və miozinlə əlaqəni kəsir,ATF-in hidrolizini zəiflədir,ATF-in miqdarını artırır,C
27,27. ATF əzələ toxumasında əsasən hansı funksiyanı yerinə yetirir?,sinir impluslarının ötürülməsini,enerji mübadiləsini və hidroliz proseslərini,assimilyasiya proseslərini,mübadilə proseslərini,dissimilyasiya proseslərini,B
28,28. ATF molekulunun kimyəvi tərkibi necədir?,adenin azot əsası+fosfat turşusu,adenin azot əsası+dezoksiriboza+fosfat turşusu,adenin azot əsası+riboza+trifosfat turşusu,adenin azot əsası+qlükoza+fosfat turşusu,adenin azot əsası+kreatin+fosfat turşusu,C
29,29. Miozinin ferment xassəsi hansı maddənin parçalanmasını kataliz edir?,AMF-in,ATF-in,KrF-ın,ADF-in,zülalların,B
30,30. Miozinin ferment aktivliyi onun molekulunda hansı funksional qrupun olması ilə bağlıdır?,COOH,OH,SH,C=O,–S–S–,C
31,31. ATF-in hidrolizi zamanı hansı miqdarda enerji ayrılır?,20 kkal,10 kkal,30 kkal,60 kkal,80 kkal,B
32,32. Əzələlərdə kreatinfosfatın miqdarı ATF-dən neçə dəfə çoxdur?,5,4,3,2,10,C
33,33. Əzələlərin təqəllüsü üçün ATF-in qatılığı neçə faiz olmalıdır?,"0,40%",100%,"0,05%",50%,"0,01%",A
34,34. Enerji təminatında hansı anaerob mexanizmlər iştirak edir?,"kreatinfosfokinaza, miokinaza, qlikolitik",kreatinfosfokinaza və miokinaza,yalnız kreatinfosfokinaza,qəza mexanizmi və aerob,miokinaza və qlikolitik,A
35,35. Aerob mexanizmlər hansı fiziki işlərin icrasında əsas rol oynayır?,"qısamüddətli, yüksək intensivli işlərin icrasında iştirak edir","uzunmüddətli, yüksək intensivli fiziki işlərin icrasını yerinə yetirir","qısamüddətli, zəif intensivli işlərin icrasını yerinə yetirir","uzunmüddətli, zəif intensivli fiziki işlərin icrasında əsas rol oynayır",qısa və uzunmüddətli fiziki işlərin icrasında əsas rol oynayırlar,D
36,36. Hüceyrədə enerji mübadiləsi harada baş verir?,holici kompleksində,ribasomlarda,mitoxondiridə,nüvədə,lizasomlarda,C
37,37. Bir molekul qlükozanın aerob oksidləşməsi zamanı neçə molekul ATF əmələ gəlir?,20,40,30,38,10,D
38,38. Fiziki işin fasiləsiz davam etməsi hansı prosesin hesabına yaranır?,ADF-in çox ani bərpası,ATF-in parçalanması,ATF-in çox ani bərpası,zülalların çox ani bərpası,zülalların parçalanması,C
39,39. Kreatinfosfokinaza reaksiyasında hansı fosforlu birləşmələr iştirak edir?,ADF və ATF,Kr F və AMF,Kr F və ADF,KrF və ATF,AMF və ATF,C
40,40. Kreatinfosfokinaza mexanizmi əsasən hansı əzələ liflərində fəaliyyət göstərir?,ürəyin əzələ liflərində,saya əzələ liflərində,sürətsiz əzələ liflərində,sürətli əzələ liflərində,epitel əzələ liflərində,B
41,41. Miokinaza reaksiyası zamanı hansı birləşmələr əmələ gəlir?,AMF və ADF,yalnız ATF,yalnız ADF,ATF və AMF,KrF və AD,D
42,42. ATF-in miokinaza mexanizmi əzələ fəaliyyətinin hansı məqamlarında baş verir?,submaksimal əzələ fəaliyyəti zamanı,aktiv əzələ fəaliyyəti zamanı,kəskin əzələ yorğunluğu zamanı,əzələ fəaliyyət etmədikdə,müvəqqəti iş zamanı,C
43,43. ATF-in resintezinin hansı reaksiyası “qəza” mexanizmi adlanır?,qlikoliz və aerob,qlikoliz,kreatinfosfokinaza,miokinaza,aerob,D
44,44. ATF-in resintezinin qlikolitik mexanizmi hansı şəraitdə fəallaşır?,aminturşuların miqdarı çox olduqda,ATF-in miqdarı çox olduqda,kreatinfosfokinaza mexanizmi tükəndikdə,qlükozanın miqdarı çox olduqda,qlükozanın miqdarı aşağı olduqda,C
45,45. Məşq etmiş idmançılarda qlikolizin maksimal şiddəti məşq etməyən insanlara nisbətən necə olur?,orta-aşağı,sabit,yüksək,çox aşağı,dəyişkən,C
46,46. 400m məsafəyə qaçan zaman enerjinin neçə faizi kreatinfosfatın parçalanmasından alınır?,50%,25%,10%,75%,100%,C
47,47. Qlikolitik mexanizm maksimal şiddətə işin neçənçi saniyəsində çatır?,20-ci saniyədə,10-cu saniyədə,30-cu saniyədə,15-ci saniyədə,5-ci saniyədə,C
48,48. ATF-in qlikolitik resintezi zamanı qanda çoxlu miqdarda hansı turşu toplanır?,fosfat turşusu,amin turşuları,süd turşusu,yağ turşuları,hidrogen xlorid turşusu,C
49,49. ATF-in resintezinin aerob mexanizmi orqanizmi neçə faiz enerji ilə təmin edir?,70%,50%,10%,90%,100%,D
50,50. Aerob oksidləşmə zamanı hansı birləşmələr iştirak edir?,"kreatinfosfat, zülallar, yağ turşular","kreatinfosfat, zülallar, aminturşular","qlükoza, yağ turşular, aminturşular",ATF və KrF,KrF və ADF,C
51,51. Əzələlərdə karbohidratların ehtiyatı tükəndikdən sonra enerji mübadiləsində hansı üzvi birləşmə iştirak edir?,nişasta,qlikogen,yağlar,kreatin,kreatinfosfat,C
52,52. Orqanizmdə baş verən kimyəvi dəyişikliklərin dinamikası icra olunan fiziki hərəkətin hansı növündən asılıdır?,yalnız növündən və idmançının məşq səviyyəsindən asılıdır,"şiddətindən,davametmə müddətindən və idmançının məşq səviyyəsindən asılıdır","şiddətindən, tipindən, davametmə müddətindən və idmançının məşq səviyyəsindən asılıdır",yalnız məşq səviyyəsindən asılıdır,davametmə müddətindən və məşq səviyyəsindən asılıdır,C
53,53. Ən böyük biokimyəvi dəyişikliklər hansı növ fiziki hərəkətlərdə baş verir?,regional,lokal,lokal və qlobal,qlobal,regional və qlobal,D
54,54. Uzunmüddətli fiziki işlər zamanı ATF əsasən hansı mexanizm hesabına bərpa olunur?,aerob və anaerob,miokinaza,kreatinfosfokinaza,aerob,qlikolitik,D
55,55. Qısamüddətli fiziki işlər zamanı ATF-in resintezində hansı mexanizmlər iştirak edir?,qlikolitik və miokinaza,yalnız qlikolitik,kreatinfosfokinaza və qlikolitik,yalnız miokinaza,kreatinfosfokinaza və miokinaza,C
56,56. Fiziki işin davametmə müddəti artdıqca anaerob mexanizmdə hansı dəyişikliklər baş verir?,"şiddət sabit qalır, həcm artır",şiddəti və həcmi artır,şiddəti və həcmi azalır,şiddət və həcm dəyişkən olur,"şiddəti azalır, həcm sabit qalır",C
57,57. Fiziki işin davametmə müddəti artdıqca aerob mexanizmdə hansı dəyişikliklər baş verir?,şiddət və həcm sabit qalır,şiddəti və həcmi azalır,şiddəti və həcmi artır,şiddət və həcm dəyişkən olur,heç bir dəyişiklik baş vermir,C
58,58. Oksigen eritrositlərdəki hemoqlobin ilə birləşib hansı maddəni əmələ gətirir?,oksihemoqlobini,mioqlobini,leykositləri,trombositləri,albumini,A
59,59. Aerob reakiyalar zamanı lazım olan oksigenin miqdarı necə adlanır?,oksigen çoxluğu,oksigen çatışmazlığı,oksigen ehtiyacı,oksihemoqlabin ehtiyacı,oksihemoqlabin çatışmazlığı,C
60,60. Sprint qaçışında enerjinin neçə faizini anaerob qlikoliz təşkil edir?,20%,10%,50%,30%,60%,C
61,61. Marafon qaçışı zamanı neçə qrama qədər yağların oksidləşməsi baş verir?,500qr,100qr,200qr,300qr,750qr,D
62,62. Əzələ işi zamanı əmələ gələn enerjinin neçə faizi zülalların hesabına olur?,50%,20%,30%,10%,100%,D
63,63. Kritik şiddət oksigen sərfinin hansı səviyyəsi adlanır?,orta-aşağı,submaksimal,dəyişkən,maksimal,sabit,D
64,64. İşin şiddəti və davametmə müddəti bir-biri ilə hansı mütənasiblik əlaqəsindədir?,mütənasib deyildir,düz mütənasibdir,tərs mütənasibdir,kritik mütənasibdir,mütənasibliyi dəyişkəndir,C
65,65. Əzələ fəaliyyətindən asılı olaraq yorulmaya səbəb olan biokimyəvi dəyişikliklər hansılardır? 1.enerji ehtiyatları və aparıcı fermentlərin aktivliyinin aşağı enməsi 2.mübadilə məhsullarının toplanması və sinir-humoral tənzimin zəifləməsi 3.sinir humoral tənzimin dəyişilməsi və mineral maddələrin azalması 4.mineral maddələrin azalması və ammonyakın çoxalması 5.yalnız ammonyakın çoxalması,"2,4","1,5","2,3","1,2","4,5",D
66,66. Yorulma zamanı orqanizmin işgörmə qabiliyyəti necə olur?,müvəqqəti olaraq çoxalır,aktivliyini daimilik itirir,müvəqqəti olaraq aşağı enir,superkompensasiyaya uğrayır,sabit qalır,C
67,67. Superkompensasiya prosesi nədir?,makroerqik proseslərdir,normadan aşağı bərpa prosesidir,normadan artıq bərpa prosesidir,anaerob proseslərdir,enerji daşıyıcı elektronlardır,C
68,68. Ləng bərpa fazasında hansı üzvi maddələrin ehtiyatı bərpa olur?,mineral maddələrin və vitaminlərin,zülalların və aminturşuların,karbohidrat və yağların,hormonların və fermentlərin,proteinsintetazaların,C
69,69. İdman diaqnostikasında yorulma prosesi qanda hansı hormonu təyin etməklə müəyyənləşdirilir?,qlükaqon,kalsitonin,adrenalin,tiroksin,triyodtironin,C
70,70. Fiziki iş zamanı əzələlərdə ağrıların olması hansı turşunun toplanması ilə əlaqədardır?,nuklein turşularının,aminturşuların,süd turşusunun,yağ turşularının,fosfat turşusunun,C
71,71. Gərgin əzələ fəaliyyəti zamanı əzələ toxumasında hansı mübadilə məhsulları toplanır?,nuklein turşuların mübadilə məhsulları,üzvi maddələrin tam oksidləşmiş mübadilə məhsullarır,aminturşuların mübadilə məhsulları,üzvi maddələrin tam oksidləşməmiş mübadilə məhsulları,yalnız qeyri-üzvi maddələrin mübadilə məhsulları,D
72,72. Mühitin PH-nın turşuluğa doğru artması sinir hüceyrələrinə necə təsir göstərir?,sinir sistemində ATF-in parçalanmasını artırır,sinir toxumasında süd turşusunun miqdarını azaldır,sinir impluslarının əzələyə ötürülməsini aktivləşdirir,sinir impluslarının əzələyə ötürülməsini zəiflədir,heç bir təsir göstərmir,D
73,73. Əzələ işi zamanı 100qr zülalların oksidləşməsindən nə qədər su əmələ gəlir?,90ml,50ml,40ml,100ml,10ml,C
74,74. Gərgin əzələ işi zamanı yağların sərf olunması qanda hansı birləşmələrin miqdarına görə müəyyən olunur?,doymamış yağ turşuların,doymuş yağ turşuların,aminturşuların,keton cisimciklərin,yalnız zülalların,D
75,75. Yorulma hərəkətin icrası zamanı hansı dəyişikliklərdən xəbər verən bioloji haldır?,fiziki və biokimyəvi,anatomik və biokimyəvi,funksional və biokimyəvi,funksional və anatomik,fiziki və anatomik,C
76,76. Sürətli bərpa fazasında hansı maddələrin ehtiyatı bərpa olur?,aminturşular,KrF və zülallar,ATF və AMF,KrF və ATF,yağlar,D
77,77. Əzələ işi zamanı 100qr karbohidratların oksidləşməsindən nə qədər su əmələ gəlir?,500ml,100ml,300ml,50ml,1000ml,D
78,78. Bərpa dövründə metabolizm prosesi katabolizmdən hansı prosesə keçir?,anabolizm və dissimilyasiya,dissimilyasiya,anabolizmə,heç bir prosesə keçmir,ifrazetmə prosesinə,C
79,79. Əzələ işindən sonra bərpa prosesində neçə faza vardır?,4,1,2,3,5,D
80,80. Əzələlərdə qlikogenin superkompensasiyası hansı zaman müddətində bərpa olur?,2 gün,20 dəq,3 gün,30 dəq,5 gün,C
81,81. Bərpa dövrünün ardıcıllığı necədir?,sürətli və ləng,"sürətli, ləng, uzunmüddətli","ləng, uzunmüddətli, sürətli","uzunmüddətli,sürətli, ləng",sürətli və uzunmüddətli,B
82,82. Kimyəvi tərkibinə görə karbohidratlar hansı üzvi maddələrdir?,karbohidratlar yalnız polişəkər maddələridir və çoxatomlu spirtlərin polikondensasiya kimyəvi birləşmələridir,"karbohidratlar çoxatomlu spirtlərin aldehid, yaxud ketonların və ya onların polikondensasiya birləşmələridir",karbohidratlar aminşəkər maddələrdir və çoxatomlu spirtlərin kimyəvi birləşmələridir,karbohidratlar yalnız çoxatomlu spirtlərin polikondensasiya birləşmələridir,sadə polişəkər maddələridir və çoxatomlu spirtlərin aldehid və ya onların polikondensasiya birləşmələridir,B
83,83. Karbohidratlar orqanizmdə əsasən hansı funksiyaları yerinə yetirir? 1.enerji 2.ehtiyat 3.katalitik 4.hormonal 5.nəqliyyat,"2,5","1,4","1,2","3,4","1,2,5",D
84,84. Karbohidratlardan hansılar mono və disaxaridlər qrupuna aiddir?,"qlükoza, maltoza, qlikogen, pektin maddələri","qlükoza, fruktoza, nişasta, saxaroza","qlükoza, qaloktoza, heparin, inulin","qlükoza, riboza, saxaroza, laktoza","nişasta, inulin, saxaroza, heparin",D
85,85. Aminşəkər maddələri hansı üzvi birləşmələrdir?,amin şəkərlər yalnız zülalların tərkibinə daxildir,tərkibində aminturşular olan üzvi maddələrdir,tərkibində amin qrupu olan monosaxaridlərdir,amin şəkərlər əzələ toxumasının əsasını təşkil edən maddələridir,tərkibində aminturşular olan monosaxarid maddələridir,C
86,86. Homopolisaxaridlər qrupuna hansılar daxildir?,"xitin, riboza, saxaroza","heparin, fruktoza, nişasta","xitin, pektin maddələri","heparin, qlükoza, inulin","qlikogen, pektin maddələri",C
87,87. Karbohidrat mübadiləsində qaraciyərin biokimyəvi rolu hansıdır?,öd turşularını sintez etməklə karbohidrat mübadiləsini tənzim edir,"qanda qlükozanın miqdarını sabit saxlamaqla, karbohidrat mübadiləsini tənzim edir",qanda süd turşusunu nişastaya çevirməklə karbohidrat mübadiləsini tənzim edir,polisaxaridləri sintez etməklə karbohidrat mübadiləsində iştirak edir,"qanda insulin hormonunun miqdarını sabit saxlamaqla, karbohidrat mübadiləsini tənzim edir",B
88,88. Karbohidratlar necə təsnif olunur?,"monosaxaridlər, polisaxaridlər, disaxaridlər","oliqosaxaridlər, polimerlər, polisaxaridlər","monosaxaridlər, disaxaridlər, polisaxaridlər","monosaxaridlər, disaxaridlər, polimerlər","polisaxaridlər, polimerlər, disaxaridlər",C
89,89. Saxaroza nədən təşkil olunmuşdur?,laktoza və qalaktoza,qalaktoza və nişasta,qlükoza və fruktoza,qlukozamin və maltoza,qlukozamin və riboza,C
90,90. Laktoza nədən təşkil olunmuşdur?,qlükoza və laktoza,qlikogen və qalaktoza,qlükoza və qalaktoza,maltoza və qalaktoza,fruktoza və qalaktoza,C
91,91. Hansı orqan qlikogen üçün depo ola bilər?,ürək,böyrək,dalaq,qaraciyər,öd kisəsi,D
92,92. Hansı karbohidrat heyvani nişasta adlandırılır?,selluloza,nişasta,qlikogen,qlükoza,laktoza,C
93,93. Kimyəvi tərkibində riboza karbohidratı olan birləşmə hansıdır?,keton cisimciklər,kreatinfosfat,adenozintrifosfat,kreatin,aminturşular,C
94,94. Hansı maddə polisaxaridlərə aiddir?,laktoza,qlükoza,saxaroza,inulin,fruktoza,D
95,95. Karbohidratların və yağların tərkibində hansı funksional qruplar vardır?,"CH2, CH3","COOH, C=O","OH, COH","OH, COOH","NH2, COOH",D
96,96. Yağların və karbohidratların kimyəvi quruluşu hansı elementlərdən ibarətdir?,"C, H, O, Na","C, H, O, N","C, H, O","Cu, Zn, Ni","Cl, Br, J",C
97,97. Yağlar canlı orqanizmdə hansı funksiyaları yerinə yetirir? 1.enerji 2.ehtiyat 3.hormonal 4.katalitik 5.qoruyucu 6.nəqliyyat,"1,2,5","3,4,6","1,2,4","1,5,6","1,2,3",A
