ID,Sual,A,B,C,D,E,correct
285,285. Katabolizmin ilk mərhələsi harada baş verir?,hüceyrəarası boşluqda,mitoxondriyada,nüvədə,mikrosomlarda,"mədə-bağırsaq traktında, lizosomlarda",E
286,286. Hansı birləşmə makroergik rabitəyə malikdir:,sitrat,asetil-KoA,piruvat,laktat,3-fosfoqliserat,B
287,287. Katabolizmanın 2-ci mərhələsində:,hidrogen tənəffüs zəncirinə daxil olur,laktat qlükoza çevrilir,monomerlər karbon turşularına qədər parçalanır,zülallar amin turşularına parçalanır,yağların qliserinə parçalanması,C
288,288. Orqanizmdə kalsium ionlarının əsas funksiyaları,hüceyrə membranlarında elektrokimyəvi potensialın yaradılması,turşu-qələvi balansının tənzimlənməsi,makroergig rabitələrin sintezində iştirak,sinir impulsunun ötürülməsində və qanın laxtalanma prosesində iştirak,hüceyrədaxili lokalizasiya,D
289,289. Natrium ionlarının orqanizmdə əsas funksiyaları:,toxuma tənəffüsündə iştirak (elektron köçürülməsi),"osmotik təzyiqin saxlanılması, maddələrin membrandan daşınmasında iştirak",əzələ yığılmasında iştirakı,oksidləşdirici fosforlaşma reaksiyalarında iştirak,qanın laxtalanma prosesində iştirak,B
290,290. Orqanizmdə fosfor ionlarının əsas funksiyaları:,qanın laxtalanma proseslərində iştirakı,qanda onkotik təzyiqin saxlanılması,makroergik rabitələrin sintezində iştirak,sinir impulsunun ötürülməsində iştirakı,sinir-əzələ qıcıqlanmasında iştirak,C
291,291. Orqanizmdə həddindən artıq suyun toplanması nəyə səbəb olur:,qlomerulyar filtrasiyanın sürətlənməsinə,kalium ifrazının artmasına,natrium ifrazının artmasına,plazma həcminin artmasına,renin-angiotenzin–aldestron sintezinin artması,B
292,292. Kalium ionu üçün xarakterik olan nədir?,əzələlərin yığılmasında iştirak,hüceyrədənkənar lokalizasiya,"hüceyrədaxili lokalizasiya, sinir-əzələ qıcıqlanmasında iştirak",toxuma tənəffüsündə iştirak (elektron köçürülməsi),qan laxtalanmasında iştirak,C
293,293. Orqanizmdə ionlar hansı prosesdə iştirak etmir:,sinir-əzələ qıcıqlanmasında iştirak,osmotik təzyiqin tənzimlənməsi,turşu-qələvi balansının tənzimlənməsində,onkotik təzyiq yaranmasında,qan laxtalanmasında iştirak,D
294,294. Qida ilə Ca2+ -un daxil olmasında yaranan çatışmazlıq nəyə səbəb olur?,böyrəklər tərəfindən Ca2+ filtrasiyasına,tireokalsitonin sintezinin aktivləşdirilməsinə,parathormon sintezinin aktivləşdirilməsinə,sümük minerallaşmasının artmasına,turşu-qələvi müvazinətinin pozulması,C
295,295. Kalium və natrium duzlarının hüceyrələr üçün əhəmiyyəti nədir:,qıcıqlanma və oyanmanın ötürülməsi ilə birbaşa bağlıdır,onlarsız qanın laxtalanması mümkün deyil,sümük toxumasını möhkəmləndirir,skeletin minerallaşmasında iştirak,kreatinfosfatın yaranmasında iştirak,A
296,"296. Substratın qatılığı dəyişdikdə, fermentin fəallığı necə dəyişir?",fermentin fəallığı dəyişmir,fermentin fəallıq azalır,substrat qatılığınnın artması ilə fermentin fəaliyyəti daim artır,substratın qatılığının artması ilə fermentin fəallığı müəyyən həddə qədər yüksəlir,fermentin fəallığı sabit qalır,D
297,297. Ferment nədir:,substratla kompleks əmələ gətirən və reaksiya zamanı parçalanan maddələr,reaksiya zamanı istifadə olunan maddələr,lipid təbiətli katalizatorlardır,karbohidrat təbiətli bioloji maddələrdir,"reaksiya zamanı dəyişikliklərə məruz qalan, lakin reaksiya başa çatdıqdan sonra ilkin vəziyyətinə qayıdan, kimyəvi reaksiyanı sürətləndirən zülal təbiətli katalizatorlardır",E
298,298. Mütləq spesifiklik- nədir:,fermentin substratda müəyyən rabitələrə təsir etmək qabiliyyəti,fermentin substrat molekulunun müəyyən hissəsinə təsir etmək qabiliyyəti,fermentin bir substratın çevrilməsini kataliz etmək qabiliyyəti,fermentin yalnız bir reaksiyanı kataliz etmək qabiliyyəti,müxtəlif substratların tərkibində olan eynitipli rabitələrə təsir etmək qabiliyyəti,B
299,299. Nisbi substrat spesifikliyi – nədir:,müxtəlif qruplara aid olan birləşmələrin oxşar kimyəvi reaksiyaların katalizi,fermentin yalnız bir reaksiyanı kataliz etmək qabiliyyəti,fermentin substrat molekulunun müəyyən hissəsinə təsir etmək qabiliyyəti,fermentin substratda müəyyən rabitələrə təsir etmək qabiliyyəti,fermentin bir substratın çevrilməsini kataliz etmək qabiliyyəti,A
300,300. Miokard infarktında qanda hansı fermentin fəallığının təyin edilməsi diaqnostik əhəmiyyət kəsb edir:,katalaza,spirt dehidrogenaz,laktatdehidrogenaz - LDH1 və LDH2,aldolaza,peroksidaza,C
301,301. Hansı birləşmələr rəqabətli ferment inhibitorları hesab olunur:,polipeptidlər,allosterik effektlər,strukturuna görə substrata oxşar maddələr,metallar,qeyri-üzvi birləşmələr,C
302,302. Koferment nədir?,birləşmənin aktiv sahəsinə möhkəm bağlıdır,effektorun bağlanmasını təmin edən fermentin bir hissəsi,fermentin zülali hissəsi,"nukleotidlər, kimyəvi reaksiyada iştirak edən vitaminlərin törəmələri",fermentin zülali hissəsi ilə sıx rabitədə olan hissəsi,D
303,303. Fermentin zülal hissəsi ilə sərbəst şəkildə rabitəyə daxil olan qrup necə adlanır:,oloferment,apoferment,izoferment,prostetik qrup,kofermentx,E
304,304. Fermentin zülali hissəsi ilə sıx bağlı olan əlavə qrup necə adlanır?,koferment,prostetik qrupu,xoloferment,apoferment,kofaktor,B
305,305. Fermentlər nəyə əsasən təsnifatlaşdırılır:,substrat növünə görə,rabitələrin xarakterinə görə,kataliz etdikləri reaksiyanın tipinə görə,fermentin təsir mexanizminə görə,fermentin aktiv mərkəzinə görə,C
306,306. Bioloji oksidləşmə- nədir:,orqanizmin bütün kimyəvi reaksiyalarının məcmusu,anabolik reaksiyalar toplusu,katabolik reaksiyalar toplusu,oksidləşmə-reduksiya reaksiyalarının toplusu,biosintetik fermentlərin zəncirindən,D
307,307. Tənəffüs zəncirinin fermentləri harada yerləşir:,nüvədə,mitoxondrilərin matrisində,mitoxondrilərin membranlararası boşluğunda,hüceyrələrin sitozolunda,mitoxondrilərin daxili membranında,E
308,308. Tənəffüs zənciri boyunca proton və elektronların ötürülməsinin hərəkətverici qüvvəsi hesab edilir:,oksidləşmə-reduksiya potensialının dəyişməsi,osmotik təzyiqin dəyişməsi,pH-ın dəyişməsi,ATF-in hidrolizi,elektrokimyəvi potensialın dəyişməsi,A
309,309. NADH2 + Q→NAD+ + QH2 Elektron nəqli zəncirindəki bu reaksiya hansı fermentlə kataliz olunur:,FAD-dan asılı dehidrogenaza,NADH dehidrogenaza,sitoxrom oksidaza,izositrat dehidrogenaza,laktatdehidrogenaza,B
310,310. Tənəffüs zəncirindəki flavin fermentlərinin elektron qəbuledicisi adlanır:,sitoxrom c,sitoxrom b,ubixinon,oksigen,sitoxrom a,C
311,311. Hansı fermentlər əzələ xəstəliyinin göstəricisi hesab olunur?,süksinat hidrogenaza,arginaza,turşu fosfataza,kreatinfosfokinaza,qammaqlutamil transpeptidaza,D
312,312. Miozit (əzələ iltihabı) zamanı qanda hansı ferment artır?,katalaza,amilaza,fosfataza,aldolaza,peroksidaza,D
313,313. İzoferment nədir?,"fiziki və kimyəvi xüsusiyyətlərinə görə fərqlənən, eyni reaksiyanı kataliz edən fermentlər",eyni fiziki və kimyəvi xüsusiyyətlərə malik multimerlər,müxtəlif kimyəvi reaksiyaları kataliz edən fermentlər,birçox kimyəvi reaksiyaları katalizasiya edə bilən fermentlər,eyni şəraitdə fəaliyyət göstərən fermentlər,A
314,314. Sərbəst enerji- nədir,systemin istilik tərkibi,sistemin pozulma dərəcəsini xarakterizə edən proses,işin yerinə yetirilməsi üçün potensial olaraq mövcud olan enerji,işə çevrilə bilməyən kimyəvi prosesin enerjisi,sistemin ümumi enerjisi,C
315,315. Orqanizmdə oksidləşmə prosesləri hüceyrədə harada baş verir?,izosomlarda,mikrosomlarda,sitoplazmada,mitoxondriyada l,xromosomlarda,D
316,316. Piridin əsaslı dehidrogenazların kofermentini göstərin:,FAD,NADF,FMN,KoA,protoporfirin,B
317,317. Tərkibində B2 vitamini olan tənəffüs zəncirinin daşıyıcısını göstərin:,NADF,K0Q,NAD,FAD,protoporfirin,D
318,318. Oksidləşmə-fosforlaşma prosesi üçün xarakterik olan nədir:,makroergik rabitəli substratın enerjisi hesabına ATF əmələ gəlməsi,"yalnız mitoxondrilərdə olur, bir neçə ATF molekulu əmələ gələ bilər",sitoplazmada baş verə bilər,"mikrosomlarda baş verir, müxtəlif sayda ATF əmələ gəlir",yalnız bir ATF molekulu əmələ gələ bilər,B
319,"319. Ferment bütün aşağıdakı xüsusiyyətlərə malikdir, yalnız biri istisna olmaqla:",elektroforez qabiliyyət,amfoter,dializ qabiliyyəti,termolabillik (istilik qabiliyyəti),duz çıxarmaq qabiliyyəti,C
320,320. Bir fermentin molekulyar aktivliyi necə ölçülür?,standart şəraitdə saniyədə 1 mol məhsulun əmələ gəlməsini kataliz edən fermentin miqdarı,1 saniyədə ferment molekulu tərəfindən çevrilən substrat molekullarının sayı,ferment preparatında 1 mq zülala düşən ferment fəallığının vahid sayı,standart şəraitdə dəqiqədə 1 mkmol substratın çevrilməsinə səbəb olan fermentin miqdarı,ən yaxşı substrata münasibətdə ferment fəallığı,B
321,"321. Göstərilən amillərin hamısı ferment aktivliyinə təsir göstərir, yalnız :",fermentlərin qatılığı,substratın qatılığı,optik sıxlı,inhibitorlar,temperatur,C
322,322. Hidrolazlar nədir:,kofermentə suyun əlavə edilməsinin kataliz edən fermentlər,fermentə suyun əlavə edilməsinin kataliz edən fermentlər,suyun substratdan çıxarılmasını kataliz edən fermentlər,su molekulunun iştirakı ilə fəaliyyət göstərən fermentlər,su mühitdən çıxarıldıqda kataliz reaksiyaları,D
323,323. Struktur funksiyası daşıyan zülallar hansılardır?,"mioqlobin, pepsin, kazein","keratin, fibrinogen, aktin","elastin, hemoqlobin, miozin","kollogen, lizozim, albumin","kollogen, keratin, elastin",E
324,324. Oksigen nəqlində iştirak edən zülalı maddə hansıdır?,keratin,pepsin,insulin,hemoqlobin,miozin,D
325,325. Sadə zülallar necə adlandırılır?,proteid,progestron,protein,prostaqlangin,pirimidin,C
326,326. Zülalların I-li quruluşu hansı rabitənin hesabına yaranır?,Molekullararası cazibə qüvvəsi,İon rabitəsi,Hidrogen rabitəsi,Disultid rabitəsi,peptid rabitəsi,E
327,327. Zülalların III-lü quruluşunda hansı rabitə iştirak etmir?,İon rabitəsi,Mürəkkəb efir rabitəsi,Hidrogen rabitəsi,Disultid rabitəsi,Molekullararası cazibə qüvvəsi,B
328,328. Hansı reaksiya zülalların keyfiyyət reaksiyası deyil?,ninhidrin reaksiyası,millon reaksiyası,ksantoprotein reaksiyası,gümüş-güzgü reaksiyası,biuret reaksiyası,D
329,329. Mürəkkəb zülallar necə adlandırılır?,prostaqlandin,progestron,proteid,pirimidin,protein,C
330,330. Sadə zülallara aid olmayanlar hansılardır?,histonlar,qlikoproteidlər,protaminlər,albuminlər,qlobulinlər,B
331,331. Mürəkkəb zülallara aid olmayanlar hansılardır?,xromoproteidlər,fosfoproteidlər,histonlar,nukleoproteidlər,lipoproteidlər,C
332,332. Xromoproteidlərə aid olan zülallar hansılardır?,Fibrinogen,Albumin,Qlobulin,Mioqlobin,Lizosim,D
333,333. Zülalların tərkibində əsas kimyəvi rabitə hansıdır?,Molekullararası cazibə qüvvəsi,İon rabitəsi,Hidrogen rabitəsi,Disultid rabitəsi,peptid rabitəsi,E
334,334. Zülalların hidrolizindən neçə aminturşu alınmışdır?,20,15-Oct,90-95,100dən artıq,10-May,A
335,335. a-aminturşuları təyin etmək üçün hansı reaksiyadan istifadə olunur?,senger reaktivi ilə reaksiya,ninhidrin reaksiyası,hipgins-adamkevis reaksiyası,Gümüş-güzgü reaksiyası,Selivanov reaksiyası,B
336,336. Denaturasiya zülalın hansı quruluşunun dəyişilməsi hesabına baş verir?,II,I,III,IV,Hamısı,C
337,337. Qidanın tərkibində əvəz olunmayan aminturşular çatışmadıqda nə baş verir?,hipoqlikemiya,hipervitaminoz,ketonemiya,zülal aclığı,avitaminoz,D
338,338. Karbohidrtların tərkibinə daxil olan element hansıdır?,Dəmir,Fosfor,Mis,Azot,Oksigen,E
339,339. SH-qrupu olan aminturşunu göstərin?,alanin,qlisin,Sistein,timin,sitozin,C
340,340. Tərkibində kükürd olan aminturşunu göstərin:,Sistin,qlisin,alanin,timin,sitozin,A
341,341. Əvəz olunmayan aminturşunu seçin:,asparigin,qlisin,alanin,metionin,serin,D
342,342. Karbohidratların tərkibində olan əsas qrupları göstərin.,NH2,"-OH, -CHO",#NAME?,SH,#NAME?,B
343,343. Qlükoza nədir:,Polisaxarid,Oliqosaxarid,disaxarid,Monosaxarid,Heteropolisaxarid,D
344,344. Fruktoza nədir:,disaxarid,Oliqosaxarid,Monosaxarid,Polisaxarid,Heteropolisaxarid,C
345,345. Saxaroza nədir?,Polisaxarid,trisaxarid,Monosaxarid,disaxarid,Heteropolisaxarid,D
346,346. Polisaxaridi seçin.,qlükoza,riboza,dezoksriboza,fruktoza,Nişasta,E
347,347. Qlikogenin monomeri nədir?,dezoksriboza,riboza,qlükoza,fruktoza,qalaktoza,C
348,348. Monosaxaridi seçin.,laktoza,saxaroza,qalaktoza,maltoza,sellüloza,C
349,349. Karbohidratlar insan orqanizminin quru çəkisinin neçə faizini təşkil edir?,7%,55,10%,2-3 %,13%,D
350,350. Tərkibində amin qrupu olan monosaxaridlər necə adlanır?,Dezoksişəkərlər,Aminoşəkərlər,Qlükozidlər,Heptozalar,Heksuron turşuları,B
351,351. 1 qr karbohidratın hüceyrədaxili oksidləşməsi zamanı necə kkal enerji əmələ gəlir?,"4,1 kkal","9,5 kkal",10 kkal,3 kkal,"10,2 kkal",A
352,352. Qlükozaya aid olmayan xüsusiyyət hansıdır?,əsas enerji mənbəyidir,Bitki və heyvanlrın əsas karbohidratıdır,tərkibində keton qrupu var,oliqosaxaridlərin və polisaxaridlərin əsasını təşkil edir,osmotik təzyiqin saxlanılmasında iştirak edir,C
353,353. Heparinin əmələ gəldiyi orqan hansıdır?,dalaq,mədəaltı vəzi,mədə,böyrəklər,qaraciyər,E
354,354. Orqanizmin əsas enerji mənbəyi hansı karbohidratdır?,saxaroza,qlükoza,maltoza,qalaktoza,laktoza,B
355,355. Nişastanın monomeri:,laktoza,saxaroza,qlükoza,fruktoza,maltoza,C
356,356. Nişasta hidroliz edən zaman nə əmələ gəlir?,fruktoza,saxaroza,laktoza,qlükoza,maltoza,D
357,357. Hansı proseslərdə sellüloza iştirak etmir?,toxluq hissi yaratmaq,həzm şirələrinin stimullaşdırmaqda,əzələlərdə toplanmaq,bağırsağın motorikasının aktivləşməsində,mədənin motorikasının aktivləşdirilməsi,C
358,358. Qaraciyərdə hansı polisaxarid parçalanmaya məruz qalır?,maltoza,mannoza,qlükoza,laktoza,qlikogen,E
359,359. Nuklein turşuları hansılardır?,"AMF, ADF","AKTH, KrF","RNT, DNT","PP, C","LDQ, PüT",C
360,360. DNT-nin bioloji rolu nədən ibarətdir?,aktivləşmiş aminturşuları zülalların sintez yerinə daşıyır,genetik informasiyanın daşıyıcısıdır,ribosomların əsas komponentini təşkil edir,yağların sintezində iştirak edir,qlikogenin sintezində iştirak edir,B
361,361. Göstərilənlərdən hansı nuklein turşularının hidrolizi zamanı alınır?,nişasta,qlikogen,azot əsasları,hemoqlabin,aminturşu,C
362,362. RNT-nin strukturuna daxildir?,fruktoza,dezoksriboza,qlikogen,riboza,bioza,D
363,363. RNT-nin tərkibi hansı maddələrdən təşkil olunmuşdur?,"azot əsası, riboza",fosfat turşusu və azot əsasları,azot əsası və dezoksiribozadan,fosfat turşusu və ribozadan,"azot əsası, fosfat turşusu və ribozadan",E
364,364. Nuklein turşularının tərkibində neçə azot əsası vardır?,1,4,3,2,5,E
365,365. Nuklein turşuları tərkibindəki pentozanın növünə görə neçə qrupa bölünür?,5,4,3,2,6,D
366,366. Nukleproteidlər nədir?,nukleozid ilə fosfat turşusunun birləşməsi,azot əsası ilə dezoksiribozanın birləşməsi,zülal ilə nuklein turşularının birləşməsi,azot əsası ilə ribozanın birləşməsi,mononukleotidlərin ardıcıl birləşməsi,C
367,367. DNT turşusunun tərkibində hansı maddə aşkar olunmayıb?,quanin,riboza,timin,sitozin,adenin,B
368,368. RNT molekulu neçə ədəd polinukliotid zəncirdən ibarətdir?,1 ədəd,3 ədəd,2 ədəd,6 ədəd,4 ədəd,A
369,369. DNT molekulu neçə ədəd polinukliotid zəncirdən ibarətdir?,5,3,4,2,1,D
370,370. Lipidlər həll olmur:,spirtdə,efirdə xloroform,yağ,suda,benzolda,D
371,371. Lipidlər:,hidrofildir,hüceyrələrin əsas tərkib hissəsidir əsas enerji mənbəyidir.,tərkibində azot elementinə rast gəlinir,peptid rabitəsi ilə birləşib,şirin dada malikdir,B
372,372. Lipidlər:,şirin dada malikdir,hidrofildir,tərkibində azot elementinə rast gəlinir,peptid rabitəsi ilə birləşib,orqanizmdə zülal və karbohidratlara birlikdə - kompleks birləşmələr şəklində olur.,E
373,373. Lipidlər:,soyuq iqlim şəraitində yaşayan heyvanların dərialtı piy təbəqəsinin qalın olması onların soyuqdan qoruyur,dərialtı piy qatı orqanizmi xarici mühitin zərərli amillərdən qoruyur,hamısı,"daxili orqanların ətrafında (ürək, böyrək) toplanaraq zədələnmələrdən qoruyur",Bəzi vitaminlər üçün həlledicidir,C
374,374. İnsan və heyvan orqanizmində yağlar ehtiyat qida maddəsi kimi harda toplanmır:,daxili orqanların üzərində,sümüklərin üzərində,dərialtı piy qatında,sümük iliyində,oynaq mayesində,B
375,375. Yağlar orqanizmdə hansı funksiyanı yerinə yetirmir?,struktur-inşaat,energetik,ehtiyat,katalitik,qoruyucu,D
376,376. Təbii yağlar hidroliz olduqda:,zülallar əmələ gəlir,vitaminlər əmələ gəlir,qliserin və ali yağ turşularına parçalanır,karbohdirat əmələ gəlir,karbon qazı əmələ gəlir,C
377,377. Bitki və heyvan mənşəlin yağlar hidroliz edən zaman nə yaranır?,"sidik cövhəri, sidik turşusu","qliserin, doymuş və doymamış yağ turşuları",hormonlar və vitaminlər,karbohidratlar,purin və pirimidin əsasları,B
378,378. Doymuş və doymamış yağ turşularının fərqi:,Tərkibindəki kükürdə görə,Tərkibindəki azota görə,Tərkibindəki rabitələrə görə,Tərkibindəki 1 atomlu spirtə görə,Tərkibindəki 2 atomlu spirtə görə,C
379,379. Heyvani yağlar nəyə görə bərk olur.,tərkibindəki suyun miqdarına görə,tərkibindəki doymamış yağ turşularına görə,tərkibindəki kalsium duzlarına görə,tərkibindəki vitaminlərə görə,tərkibindəki doymuş yağ turşularına görə,E
380,380. Bitki mənşəli yağlar nəyə görə maye şəklində olur?,tərkibindəki kalsium duzlarına görə,tərkibindəki doymuş yağ turşularına görə,tərkibindəki doymamış yağ turşularına görə,tərkibindəki vitaminlərə görə,tərkibindəki suyun miqdarına görə,C
381,381. Yagda həll olan vitamini göstərin?,B12,C,B1,B6,D,E
382,382. Yağda həll olan vitamini göstərin:,B6,C,B1,A,B12,D
383,383. Adrenalin hansı maddənin parçalanmasını sürətləndirir:,yağların,sellülozanın,qlikogenin,nukleotidlərin,sadə zülalların,C
384,384. Ödün rolu:,yağlar üçün emulqator vəzifəsini daşıyır,vitamindir,hormondur,heç bir rolu yoxdur,zülaldır,A
385,385. Yağların qələvinin iştirakı ilə reaksiyası necə adlanır?,polimerləşmə reaksiyası,polikondensasiya,parçalanma reaksiyası,oksidləşmə reaksiyası,sabunlaşma reaksiyası,E
386,386. Bərk sabun necə alınır:,Mg(OH)2 -dən istifadə etdikdə,KOH - dən istifadə etdikdə,Ca(OH)2 -dən istifadə etdikdə,NaOH -dən istifadə etdikdə,Cu(OH)2 -dən istifadə etdikdə,D
387,387. Maye sabun necə alınır:,NaOH -dən istifadə etdikdə,KOH - dən istifadə etdikdə,Ca(OH)2 -dən istifadə etdikdə,Mg(OH)2 -dən istifadə etdikdə,Cu(OH)2 -dən istifadə etdikdə,B
388,388. Yağların qaxsıması zamanı nə baş verir?,sidik cövhəri əmələ gəlir,qlükoza əmələ gəlir,qliserin və yağ turşuları əmələ gəlir,hər biri,spirt əmələ gəlir,C
389,389. Mumlar nədir?,heç biri,vitamindir,zülaldır,iri molekullu yağlar turşuları ilə biratomlu spritlərin mürəkkəb efirlərdir,qliserindir,D
390,390. Uşaqlarda ən çox rast gəlinən xəstəliklərdən hansılardır?,qastrit,hiporpokiya,raxit,skorbut,sinqa,C
391,391. Beri-beri xəstəliyi hansı vitaminin çatışmazlığı zamanı baş verir ?,D vitamini,C vitamini,A vitamini,B1 vitamini,PP vitamini,D
392,392. Retinol hansı vitamindir?,B12,A,B6,D,,B
393,393. Karotinlər hansı vitaminin sələfləridir?,E,B12,B6,D,A,E
394,394. Hormonlar hansı funksiyanı yerinə yetirir?,müdafiə,katalitik,tənzimlıyici,nəqliyat,energetik,C
395,395. Qlikogenin qlükozadan sintezini hansı hormon gücləndirir?,adrenalin,insulin,qlükaqon,testesteron,tiroksin,B
396,396. Əzələlərdə qlikogeni parçalayan hormon hansıdır?,testesteron,insulin,Melotonin,adrenalin,tiroksin,D
397,397. Hansı hormon zülal təbiətlidir?,adrenalin,insulin,qlükaqon,testesteron,tiroksin,B
398,398. Hansı hormon zülalların sintezini gücləndirir?,tiroksin,adrenalin,qlükaqon,testesteron,somatotropin,E
399,399. Qlükaqon hormonu hansı maddənin parçalanmasını stimullaşdırır?,yağların,zülalın,qlikogenin,qlükozanın,saxarozanın,C
400,400. Mədəaltı vəzidə sintez olunan hormon:,adrenalin,insulin,qlükaqon,testesteron,tiroksin,B
401,401. Steroid təbiətli hormonu göstərin:,testesteron,insulin,qlükaqon,kortizol,tiroksin,D
402,402. Qaraciyərdə qlikogeni parçalayan hormon?,tiroksin,insulin,kortizol,testesteron,qlükaqon,E
