ID,Sual,Mövzu,A,B,C,D,E,correct
1,1. Sinir əzələ aparatının əsas morfo-funksional elementi nədir?,Sinir-əzələ sistemi,əzələ,sinir,hərəki vahid,refleks,hormon,C
2,2. Əzələ lifləri hansı təqəllüs elementlərindən təşkil olunmuşdur?,Sinir-əzələ sistemi,proprioreseptorlar,miofibrillər,çöpcüklər və kolbacıqlar,vətər,bağlar,B
3,3. Hər əzələ lifində təxminən nə qədər miofibril olur?,Sinir-əzələ sistemi,500-ə qədər,50-ə qədər,100-ə qədər,1000 və daha çox,10-a qədər,D
4,4. Əzələ liflərinin təqəllüsü üçün əsas enerji mənbəyi hansıdır?,Sinir-əzələ sistemi,OMS,ÜVS,MMS,AHT,ATF,E
5,5. Sakitlik vaxtı hər 100qr skelet əzələsinə təxminən nə qədər qan axını düşür?,Sinir-əzələ sistemi,20-50 ml,2-5 ml,50-100 ml,100-500 ml,500-1000 ml,B
6,6. Əzələlərdə ATF-in resintezi hansı yollarla baş verir?,Sinir-əzələ sistemi,talamus və hipotalamus,anaerob və aerob,hipokinetik və hipodinamik,assimilyasiya və dissimilyasiya,monokulyar və binokulyar,B
7,7. Əzələlərə impuls göndərən neyronlar necə adlanır?,Sinir-əzələ sistemi,ara neyron,sekretor neyron,motoneyron,hissi neyron,sinaps,C
8,8. Ürək əzələsi hansı əzələ liflərindən təşkil olunmuşdur?,Sinir-əzələ sistemi,nəli əzələsi,saya əzələ,qarışıq əzələ,eninə zolaqlı əzələ,bud əzələsi,D
9,9. Eninə zolaqlı əzələlər əsasən harada yerləşir?,Sinir-əzələ sistemi,kapilyarda,damarlarda,skelet əzələlərində,daxili üzvlərdə,böyrəklərdə,C
10,10. Əzələnin təqəllüsünü qeyd etmək üçün hansı cihazdan istifadə edilir?,Sinir-əzələ sistemi,elektroensofaloqraf,"kimoqraf, mioqraf",fonendoskop,pulsotaxometr,elektrokardioqraf,B
11,11. Bədənin neçə faizini əzələ kütləsi təşkil edir?,Sinir-əzələ sistemi,5-10%,15-20%,25-30%,35-40%,60-70%,D
12,12. Sinir sisteminin əsas quruluş elementi nədir?,Mərkəzi sinir sistemi,hormon,neyron,ferment,vəzi,vətər,B
13,13. Aşağıdakılardan biri neyronların əsas funksiyalarına daxil deyil:,Mərkəzi sinir sistemi,reseptorlardan xarici qıcıaqların qəbulu,inteqrativ funksiya,hipertrofik funksiya,sinir təsirlərinin başqa neyronlara ötürülməsi,sinir impulslarının işçi üzvə ötürülməsi,C
14,14. Neyronlar neçə əsas tipə ayrılır?,Mərkəzi sinir sistemi,4,2,3,5,6,C
15,15. Aşağıdakılardan biri neyronların tipinə aid deyil:,Mərkəzi sinir sistemi,hissi,ara,efferent,qlobal,afferent,D
16,16. Neyronların bir-biri ilə və effektor üzvlərlə əlaqələnməsi hansı xüsusi törəmələrin köməyi ilə baş verir?,Mərkəzi sinir sistemi,akson,mitoxondri,lizosom,miofibril,sinaps,E
17,17. Mərkəzi sinir sisteminin fəaliyyətinin nizamlanması əsas hansı sinir proseslərinə əsaslanır?,Mərkəzi sinir sistemi,oyanma və təqəllüs,oyanma və ləngimə,qıcıqlanma və təqəllüs,qıcıqlanma və deformasiya,superkompensasiya və ləngimə,B
18,18. İrradiasiya hadisəsi nədir?,Mərkəzi sinir sistemi,hərəkət məhdudiyyəti,əzələnin en kəsiyinin böyüməsi,oyanma prosesinin başqa sinir mərkəzlərinə yayılması,sinir prosesinin həddən artıq güclü olması,tormozlayıcı sinir hüceyrələrinin fəallaşması,C
19,19. Tənəffüs mərkəzi beynin hansı şöbəsində yerləşir?,Mərkəzi sinir sistemi,orta beyin,onurğa beyni,beyincik,uzunsov beyin,ara beyin,D
20,20. Beyinciyin əsas vəzifələri hansıdır?,Mərkəzi sinir sistemi,analizatorların fəaliyyəti,qidalanma və həzm,tənəffüsün tənzimlənməsi,ürək fəaliyyətinin nizamlanması,hərəkət funksiyası və tonik reaksiyaların tənzimi,E
21,21. Beyin qabığında təxminən nə qədər sinir hüceyrəsi olur?,Mərkəzi sinir sistemi,300-400 min,10-20 min,14 mlrd,5 mln,100-ə qədər,C
22,22. Beyin qabığının funksional vəziyyətinin dəyişilməsinin elektrik fəallığının yazısı necə adlanır?,Mərkəzi sinir sistemi,kardioqramma,elektroensefaloqramma,mioqramma,tomqramma,spiroqramma,B
23,23. Vegetativ sinir sistemi hansı şöbələrdən ibarətdir?,Mərkəzi sinir sistemi,mərkəzi və ətraf,baş və onurğa beyni,adrenalin və noradrenalin,simpatik və parasimpatik,hipotalamus və talamus,D
24,24. Aşağıdakılardan biri simpatik sinir sisteminin iştirakı ilə baş verən refleksə aid deyil?,Mərkəzi sinir sistemi,Bronxların genişlənməsi,Ürək təqəllüsünün tezləşməsi,Qaraciyər və dalaqdan qanın qovulması,Qlikogenin qlükozaya qədər parçalanması,ürək vurğularının zəifləməsi,E
25,"25. Hansı sinirlərin təsiri altında ürək vurğuların sayı artır, damarlar daralır?",Mərkəzi sinir sistemi,baş beyin,simpatik,onurğa beyin,parasimpatik,vegetativ,B
26,26. Baş beyni hansı şöbələr təşkil edir?,Mərkəzi sinir sistemi,"onurğa beyin, ara beyin, böyük yarımkürələr, beyincik, orta beyin","böyük yarımkürələr, beyincik, retikulyar formasiya, orta beyin","böyük yarımkürələr, ara beyin, orta beyin, beyincik, uzunsov beyin","böyük yarımkürələr, ara beyin, orta beyin, beyincik, onurğa beyin","baş beyin qabığı, ara beyin, orta beyin, beyincik, uzunsov beyin",C
27,27. Hansı pozğunluqlar beyincik zədələnmələrin əlamətidir?,Mərkəzi sinir sistemi,"göz nistaqmi, asinergiya, astaziya, ataksiya","diastola, distoniya, ataksiya, göz nistaqmi","hemiplegiya, asinergiya, astaziya, sistola","ataksiya, asinergiya, astaziya, distoniya","anemiya, astiqmatizm, ataksiya, distoniya",D
28,28. Onurğa beynin şöbələri:,Mərkəzi sinir sistemi,"yuxarı, orta, aşağı","döş, qarın, bel, çanaq, büzdüm","boyun, döş, qarın, bel, çanaq","boyun, döş, qarın, büzdüm, oma","boyun, döş, bel, oma",E
29,29. Sinir mərkəzlərində ləngimə hadisəsi nə zaman və kim tərəfindən kəşf olunmuşdur?,Ali sinir fəaliyyəti və sensor sistem,1862-Seçenov,1789-Uxtomski,1899-Pavlov,1112-İbn Sina,1965-Mustafayev,A
30,30. Reflekslərin ilk təsnifatını kim vermişdir?,Ali sinir fəaliyyəti və sensor sistem,P.K.Anoxin,A.D.Slonim,İ.P.Pavlov,İ.M.Secenov,N.E.Vvedenskiy,C
31,31. Ac adam yeməyi düşünən zaman tüpürcək ifrazı hansı refleksdir?,Ali sinir fəaliyyəti və sensor sistem,süni,şərti,şərtsiz,II dərəcəli,III dərəcəli,B
32,32. İnsanın sözü qəbul edib və onu ifadə etməsini nə təmin edir?,Ali sinir fəaliyyəti və sensor sistem,I siqnal sistemi,eşitmə analizatoru,görmə analizatoru,instinkt,II siqnal sistemi,E
33,33. Bunlardan hansı yuxu növlərinə aid deyil?,Ali sinir fəaliyyəti və sensor sistem,patoloji yuxu,narkotik yuxu,hipotalamik yuxu,hipnotik yuxu,fəsil yuxusu,C
34,34. Şərtsiz refleksə aid deyil?,Ali sinir fəaliyyəti və sensor sistem,müdafiyə,vərdiş,cinsi,hərəki,qidalanma,B
35,35. İstilik enerjisini qəbul edən reseptorlar necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,termoreseptorlar,fotoreseptorlar,xemoreseptorlar,mexanoreseptorlar,proprioreseptorlar,A
36,36. Görmə sensor sistemin xüsusi fotoreseptorları hansılardır?,Ali sinir fəaliyyəti və sensor sistem,məməciklər,kirpiklər,"çəkic, zindan, üzəngi",kolbacıqlar və çöpcüklər,otolitlər və reseptorlarin tükləri,D
37,37. Orta qulaqda hansı eşitmə sümükcükləri vardır?,Ali sinir fəaliyyəti və sensor sistem,otolitlər və reseptorların tükləri,"çəkic, zindan, üzəngi","kirpiklər, məməciklər, zindan",kolbacıqlar və çöpcüklər,çəkic və kirpiklər,B
38,"38. Dənizdə yaxud təyyarədə yırğalanmada baş verən ürək bulanma, qusma, baş gicəllənmə və s. bu kimi hallar əsasən nə ilə əlaqədardır?",Ali sinir fəaliyyəti və sensor sistem,akson və dendritlər,əzələ hipertrofiyası,hipokineziya,limbik sistem,vestibulyar davamiyyət,E
39,39. Oyanmanın sinir və əzələ toxumasında nəql olunmasının sürəti necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,qıcıqlanma,labillik,reobaza,təqəllüs,xronaksiya,B
40,40. Toxuma hüceyrəsinin qıcığa qarşı oyanma ilə cavab vermə xassəsi necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,labillik,qıcıqlanma,oyanıcıqlıq,hipertrofiya,hipoksiya,C
41,41. Refleks qövsü neçə hissədən ibarətdir?,Ali sinir fəaliyyəti və sensor sistem,4,2,3,5,1,D
42,42. Aşağıdakılardan hansı qıcığı qəbul edən aparatdır?,Ali sinir fəaliyyəti və sensor sistem,hipotermiya,reobaza,respirator,hipertrofiya,reseptor,E
43,43. Sinir prosessin hansı xüsusiyyəti sanqviniki fleqmatikdən fərqləndirir?,Ali sinir fəaliyyəti və sensor sistem,oyanma,qüvvə,ləngimə,mütəhərililik,müvazinət,D
44,44. Şərtsiz reflekslər MSS-in hansı şöbələri vasitəsilə icra olunur?,Ali sinir fəaliyyəti və sensor sistem,"qabıqaltı nüvələr, beyin sütunu və onurğa beynin",baş beyin yarımkürələrin,onurğa beynin,beyin sütunu və qabıqaltı nüvələrin,beyin sütunu və onurğa beynin,A
45,45. Aşağıdakılardan hansı şərti refleksin əmələ gəlmə mexanizminə aiddir?,Ali sinir fəaliyyəti və sensor sistem,MSS-də oyanmanın güclənməsi,MSS-də oyanma,şərti və şərtsiz reflekslərin birləşməsi,baş beyin qabığında iki mərkəz arasında müvəqqəti əlaqənin yaranması,şərtsiz qıcığın şərti qıcıq ilə əvəz olunması,D
46,46. Əzələ tonusunun artması ilə gedən patoloji yuxu necə adlanır?,Ali sinir fəaliyyəti və sensor sistem,anemiya,katalepsiya,atoniya,akromeqaliya,asteniya,B
47,47. Ləng yuxu fazasını hansı fizioloji xüsusiyyətlər xarakterizə edir?,Ali sinir fəaliyyəti və sensor sistem,ətrafların nizamsız hərəkəti,vegetativ funksiyalar güclənir,vegetativ funksiyalar zəifləyir,bədənin nizamsız hərəkəti,ətrafların və bədənin nizamsız hərəkəti,C
48,48. Aşağıdakı ifadələrin hansı neyronu təşkil edir?,Ali sinir fəaliyyəti və sensor sistem,"akson, dendrit, soma","soma, presinaptik uç, dendrit","soma, sinaps, dendrit","soma, dendrit, akson, retikulum","soma, akson, retikulum",A
49,49. Beynin hansı şöbəsi humoral tənzim ilə əlaqədardı?,Ali sinir fəaliyyəti və sensor sistem,ön beyin,uzunsov beyin,orta beyin,beyincik,ara beyin,E
50,50. Vegetativ sinir sistemin ali mərkəzləri yerləşir:,Ali sinir fəaliyyəti və sensor sistem,orta beyində,uzunsov beyində,hipotalamusda,onurğa beynin 1-ci döş və 5-ci bel seqmentlərin arasında,onurğa beynin 1-ci döş və 5-ci bel seqmentlərin arasında və uzunsov beyində,C
51,51. Onurğa beynin boz maddəsinin quruluşu hansı sırada düzgündür: 1) cüt ön; 2) cüt arxa; 3) cüt yan; a) hissi neyronlar; b) hərəki neyronlar; c) vegetativ neyronlar?,Mərkəzi sinir sistemi,2c; 1b; 2a,3a; 1c; 2b,1a; 2b; 3c,1b; 2a; 3c,3b; 1a; 2c,D
52,52. Onurga beynin ağ maddəsi hansı funksiyanı yerinə yetirir?,Mərkəzi sinir sistemi,humoral,hərəki,daxili üzvlətin fəaliyyətini tənzimləyir,nəqledici,tənəffüs,D
53,53. Hansı sinirlər baş əzələlərini sinirləyir?,Mərkəzi sinir sistemi,onurğa beyin,baş beyin,vegetativ,parasimpatik,simpatik,B
54,54. Sensor siqnallar talamusdan böyük yarımkürələrin qabığına hansı yollar ilə daşınır?,Mərkəzi sinir sistemi,piramid,ekstrapiramid,talamo-kortikal,spesifik,spino-talamik,C
55,55. Beyin sütununda hansı törəmə yerləşir?,Mərkəzi sinir sistemi,solğun kürəcik,türk yəhəri,baş beyin qabığı,qırmızı nüvə,zolaqlı cisim,D
56,56. Alveolyar havada azotun miqdarı nə qədərdir?,Tənəffüs,90%,56%,67%,89%,"78,9%",E
57,57. Tənəffüsün əsas vəzifəsi nədir?,Tənəffüs,yalnız carbonu qəbul etmək,qanı ürəyə nəql etmək,oksigeni xaric etmək,orqanizmlə xarici mühit arasında qazlar mübadiləsidir,yalnız oksigeni qəbul etmək,D
58,58. Orqanizmdə qazlar mübadiləsi necə baş verir?,Tənəffüs,böyrəklər vasitəsi ilə,oksigeni xaric etməklə,ehtiyat havanı xaric etməklə,qalıq havanı xaric etməklə,ritmik tənəffüs hərəkətlərinin hesabına,E
59,59. Nəfəs vermənin ehtiyat həcmi nədir?,Tənəffüs,tənəffüsün dəqiqəlik həcmi,"adi nəfəs verdikdən sonra, dərindən nəfəs verəndə xaric olunan hava",ağciyərlərin venteliyasiyası,simpato-adrenal sistemin fəaliyyətinin sürətlənməsi,ağciyərlərin həyat tutumu,B
60,60. Ağciyərlərin alveollarında yerləşən hava necə adlanır?,Tənəffüs,ağciyərlərin alveolyar havası,ağciyərlərin ümumi tutumu,tənəffüsün dəqiqəlik həcmi,ağciyərlərin ventilyasiyası,plevra havası,A
61,61. Karbon qazı qanda neçə vəziyyətdə olur?,Tənəffüs,6,4,2,5,1,C
62,62. Tənəffüs mərkəzi harada yerləşir?,Tənəffüs,türk yəhərində,simpato-adrenal sistemində,hipofizar sistemində,uzunsov beyində,tənəffüs mərkəzi yoxdur,D
63,63. Tənəffüs aparatın havaaparıcı yolları nə ilə tamamlanır?,Tənəffüs,simpatik sinir sistemi ilə,sağ və sol ağciyərlərin magistral bronxları ilə,parasimpatik sistem ilə,qaraciyər ilə,alveollar ilə,B
64,64. Nəfəs vermədən sonra ağciyərlərdə qalan havanın həcmi necə adlanır?,Tənəffüs,ehtiyat alma hava,tənəffüs hava,qalıq hava,ehtiyat nəfəs vermə hava,ağciyərlərin ümumi tutumu,C
65,65. Tənəffüs sistemində xemoreseptorların funksiyasi nədir?,Tənəffüs,orqanizmin fiziki müvazinətinə nəzarətdir,orqanizmin daxili mühitinin turşu qələvi balansına nəzarətdir,orqanizmin daxili mühitinin maye müvazinətinə nəzarətdir,orqanizmin sinir–sisteminin müvazinətinə nəzarətdir,ürək fəaliyyətinə nəzarətdir,B
66,66. Tənəffüs mərkəzi hansı funksiyanı yerinə yetirir?,Tənəffüs,trombositlrin sabitliyini qorumaq,limfositlərin sabitliyini qorumaq,limfanın qazlar tərkibinin sabitliyini qorumaq,venoz qanın qazlar tərkibinin sabitliyini qorumaq,arterial qanın qazlar tərkibinin sabitliyini qorumaq,E
67,67. Nəfəslə alınan havada oksigenin faiz miqdarı nə qədərdir?,Tənəffüs,40%,13%,7%,21%,55%,C
68,68. Taxipnoik tipli tənəffüs hansı tənəffüsə deyilir?,Tənəffüs,dəqiqədə 12-16 dəfə olan tənəffüs,zəif tənəffüs,dəqiqədə 8 dəfədən az tənəffüs,qeyri-ritmik tənəffüs,dəqiqədə 20 dəfədən çox olan tənəffüs,E
69,69. Bradipnoik tipli tənəffüs necə tənəffüsə deyilir?,Tənəffüs,səthi tənəffüs,dəqiqədə 8 dəfədən az olan tənəffüs,dəqiqədə 12-16 dəfə olan tənəffüs,dəqiqədə 20 dəfədən çox olan tənəffüs,sıx tənəffüs,B
70,70. Əsas inspirator (nəfəs alma) əzələlər hansılardır?,Tənəffüs,diafraqma və kürək əzələsi,döş və qoltuqaltı əzələlər,xarici qabırğaarası əzələlər və diafraqma,trapesvari və boyun əzələsi,qarın əzələsi və xarici qabırğaarası əzələlər,C
71,71. Əsas ekspirator (nəfəs vermə) əzələlər hansılardır?,Tənəffüs,trapesvari əzələlər,rombvari əzələlər,qarın əzələsi,daxili qabırğaarası əzələlər,xarici qabırğaarası əzələlər,E
72,72. Bunlardan hansı tənəffüs aparatına aid deyil?,Tənəffüs,bronxlar,qırtlaq,yuxarı nəfəs yoları,traxeya,dəhliz reseptorları,E
73,73. Bronxial ağac neçə şaxəyə ayrılır?,Tənəffüs,20,3,16,23,2,D
74,74. Ağciyər alveollarının təxmini sayı nə qədərdir?,Tənəffüs,300-700 milyon,250-300 min,6-8 min,14 milyard,40 milyard,A
75,75. Maksimal nəfəs alandan sonra dərindən nəfəsvermədə xaric olan havanın miqdarına nə deyilir?,Tənəffüs,oksigenin maksimal sərfiayyatı,ağciyərlərin həyat tutumu,qanın oksigen həcmi,tənəffüs həcmi,ağciyərlərin ümumi tutumu,B
76,76. Ağciyərlərin həyat tutumuna nə daxildir?,Tənəffüs,"nəfəsalmanın ehtiyat həcmi, tənəffüs həcmi, nəfəsvermənin ehtiyat həcmi",tənəffüs həcmi və ağciyərlərin ümumi tutumu,nəfəsalmanın və nəfəsvermənin ehtiyat həcmi,nəfəsalmanın ehtiyat həcmi və qalıq hava,"ağciyərlərin ümumi həcmi, nəfəsalma və nəfəsvermənin ehtiyat həcmi",A
77,77. Ağciyərlərin ümumi həcmini nə təşkil edir?,Tənəffüs,ağciyərlərin həyat tutumu və nəfəsvermənin ehtiyat həcmi,nəfəsalma və nəfəsvermənin ehtiyat həcmi,nəfəsalmanın həcmi və qalıq hava,ağciyərlərin həyat tutumu və qalıq hava,nəfəsalmanın ehtiyat həcmi və qalıq hava,D
78,78. Hər nəfəsalma zamanı ağciyərlərə daxil olan hava necə adlanır?,Tənəffüs,ağciyərlərin ümumi həcmi,ağciyərlərin həyat tutumu,nəfəsalmanın ehtiyat həcmi,qalıq hava,tənəffüs həcmi,E
79,79. Ağciyərlərin həcmləri və tutumları nədən asılı deyil?,Tənəffüs,bədən ölçülərindən,neyronların tiplərindən,cinsdən,məşq dərəcəsindən,yaşdan,B
80,80. Anatomik zərərli sahə nəyə deyilir?,Tənəffüs,əlavə dərindən nəfəsalma zamanı daxil olan hava,hər nəfəsalma zamanı ağciyərlərə daxil olan hava,"tənəffüs yollarına daxil olan, lakin qazlar mübadiləsində iştirak etməyən hava",dərindən nəfəs verəndə xaric olan hava,ağciyərlərdən xaric olan karbon qazı,C
81,81. Sakit vaxtı tənəffüsün dəqiqəlik sayı nə qədər olur?,Tənəffüs,10-Aug,16-Dec,8-May,25-30,36-40,B
82,"82. Tənəffüsün dəqiqəlik sıxlığı 12-16, tənəffüsün həcmi isə 0.5 litr olduğu halda, tənəffüsün dəqiqəlik həcmi nə qədər təşkil edəcək?",Tənəffüs,1-2 l,2-4 l,4-6 l,6-8 l,8-10 l,D
83,83. Atmosfer havasının tərkibi necədir?,Tənəffüs,"oksigen 78.9%, azot 20.9%, karbon qazı 0.03%, su buxarı 0.5%","azot 78.9%, oksigen 20.9%, karbon qazı 0.03%, su buxarı 0.5%","oksigen 78.9%, su buxarı 20.9%, karbon qazı 0.03%, azot 0.5%","su buxarı 78.9%, oksigen 20.9%, azot 0.03%, karbon 0.5%","oksigen 78.9%, karbon 20.9%, azot 0.03%, su buxarı 0.5%",B
84,84. 1 qr hemoqlobinin oksigen birləşdirici qabiliyyəti nə qədərdir?,Tənəffüs,11.5 ml,3.14 ml,5 ml,1.34 ml,100 ml,D
85,85. Tənəffüs sistemində hansı reseptorlar qəbuledici rolu daşıyır?,Tənəffüs,proprioreseptorlar,ekstroreseptorlar,mexanoreseptorlar,fotoreseptorlar,termoreseptorlar,C
86,86. Bir dəqiqə ərzində ağciyərlərdən keçən havanın miqdarına nə deyilir?,Tənəffüs,ağciyərlərin həyat tutumu,ağciyərlərin dəqiqəlik diffuziyası,qaraciyərin dəqiqəlik həcmi,belə bir fizioloji termin yoxdur,ağciyərlərin ventilyasiyası,E
87,87. Tənəffüs havasında vardır:,Tənəffüs,"oksigen, karbon qazı, dəmir","oksigen, karbon qazı, azot","oksigen, dəmir, azot","etil spirti, oksigen, azot","dəmir, etil spirti, oksigen",B
88,88. Diffuziyanın köməyi ilə oksigen qana keçdikdən sonra nə olur?,Tənəffüs,fosfor ilə birləşir,karbonla birləşir,hemoqlobinlə birləşir,heçnə ilə birləşmir,qanda azotla birləşir,C
89,89. 100 ml arterial qanda CO2 miqdarı nə qədərdir?,Qan,60-100 ml,10-12 ml,20-25 ml,47-48 ml,2-4 ml,D
90,90. Qanın ümumi həcminin neçə faizini formalı elementlər təşkil edir?,Qan,42-43%,42-45%,40-45%,41-46%,43-45%,B
91,91. Qanın ümumi həcminin neçə faizini plazma təşkil edir?,Qan,30–60 %,54-58%,25-57%,70-90%,56-80%,B
92,92. Kişilərdə hemotokrit neçə faizdir?,Qan,40%,43%,46%,48%,45%,C
93,93. Kişilərdə formalı elementlər və plazma neçə faizdir?,Qan,"51 %, plazma 49 %","52 %, plazma 48 %","53 %, plazma 47 %","46 %, plazma 54 %","50 %, plazma 50 %",D
94,94. Qadınlarda hemotokrit neçə faizdir?,Qan,31%,42%,53%,55%,30%,B
95,95. Qadınlarda formalı elementlər və plazma neçə faizdir?,Qan,"30 %, plazma 70 %","34 %, plazma 56 %","42 %, plazma 58 %","22 %, plazma 78 %","34%, plazma 66 %",D
96,96. Eritrositlərin çökmə sürəti (EÇS) normal şəraitdə kişilərdə saatda neçə mm-dir?,Qan,8-11 mm,6-12 mm,7-9 mm,4-8 mm,5-10 mm,D
97,97. Eritrositlərin çökmə sürəti (EÇS) normal şəraitdə qadınlarda saatda neçə mm-dir?,Qan,8-12 mm,8-10 mm,3-5 mm,16-20 mm,5-8 mm,E
98,98. Leykositlərin miqdarı 1 mm3 qanda sağlam insanda nə qədər olur?,Qan,7-10 min,6-8 min,8-10 min,6-11 min,9-10 min,B
99,99. İnsan qanın plazmasının tərkibində neçə faiz su var?,Qan,88-98%,80-90%,85-95%,90-92%,90-96%,D
100,100. Hemoqlabin (HB) eritrositlərin əsas komponenti olaraq quru maddəsinin neçə faizini təşkil edir?,Qan,99%,98%,96%,95%,100%,D
101,101. Bunlardan biri qanın tərkibinə daxil deyil?,Qan,trombositlər,plazma,eritrositlər,leykositlər,motoneyron,E
102,102. Yaşlı insanın bədənində təxminən nə qədər qan olur?,Qan,5-6 l,3-3.5 l,2-3 l,8-9 l,9-10 l,A
103,103. Formalı elementlərin 90%-ni hansı formalı elementlər təşkil edir?,Qan,trombositlər,leykositlər,eritrositlər,plazma,hormonlar,C
104,104. Hematokrit nədir?,Qan,qanın formalı elementlərinin ümumi həcmə faizlə nisbəti,əzələlərin sürətli inkişafı,hərəkət çatışmazlığı,vitamin çatışmazlığı,gözün uzaq yerləşən əşyaları aydın görmək üçün uyğunlaşma prosesi,A
105,105. Qan hüceyrələrinin dağılması əsasən harada baş verir?,Qan,əzələlərdə və dəridə,ağciyərlərdə və qaraciyərdə,ürəkdə və sümük iliyində,qaraciyərdə və dalaqda,beyin qabığında və dalaqda,D
106,106. Eritrositlər harada formalaşır?,Qan,qaraciyərdə,limfa düyünlərində,sümük iliyində,ağciyərlərdə,ürəkdə,C
107,107. Eritrositlərin əsas fizioloji funksiyası hansıdır?,Qan,bakteriyaların udulmasını həyata keçirmək,ağciyərlərdən oksigeni orqanizmin bütün üzv və toxumalarına daşımaq,zədələnmiş damarda trombun əmələ gəlməsini təmin etmək,immun sistemi formalaşdırmaq,orqanizmi toksinlərdən qorumaq,B
108,108. 1 mm3 qanda kişi və qadınlarda eritrositlərin normal miqdarı?,Qan,"kişilərdə 6-8 min, qadınlarda 4-6 min","kişilərdə 5.0 milyon, qadınlarda 4.5 milyon","kişilərdə 250-300 min, qadınlarda 200-250 min","kişilərdə 14 milyard, qadınlarda 12 milyard","kişilərdə 2 milyon, qadınlarda 1 milyon",B
109,109. Trombositlərin əsas funksiyası hansıdır?,Qan,çöküntü məhsullarını ifrazat üzvlərinə çatdırmaq,ağciyərlərdəki oksigeni orqanizmin bütün üzv və toxumalarına daşımaq,orqanizmi bakteriya və toksinlərdən müdafiə etmək,qanın laxtalanmasında iştirak etmək,immunitet proseslərini təmin etmək,D
110,110. Hansı qan qrupuna məxsus olan insanlar universal donor adlanır?,Qan,I və IV,II,III,IV,I,E
111,111. Eritrositlər neçə gün yaşayır?,Qan,3-5 gün,7-10 gün,60-90 gün,15-20 gün,50-55 gün,C
112,112. Leykositlər və trombositlər neçə gün yaşayır?,Qan,30-35 gün,20-22 gün,14-15 gün,60-90 gün,7-10 gün,E
113,113. Hemoqlobinin qanda ümumi miqdarı nə qədərdir?,Qan,500-1000 qr,700-750 qr,900-950 qr,600-900 qr,900-1200 qr,B
114,114. Sakit vaxtı ürək əzələsi daha çox nə qədər oksigen mənimsəyir?,Ürək-damar sistemi,8–10 ml/100 qram qanda dəqiqədə,6–7 ml/100 qram qanda dəqiqədə,8–12 ml/100 qram qanda dəqiqədə,7–15 ml/100 qram qanda dəqiqədə,9–19 ml/100 qram qanda dəqiqədə,A
115,115. Nəbz təzyiqi neçə mm civə sütununa bərabərdir?,Ürək-damar sistemi,20-45 mm c.s,20-30 mm c.s,35-55 mm c.s,20-40 mm c.s,25-50 mm c.s,C
116,116. Oksigenlə təchiz olunmuş arterial qan ürəyin sol mədəciyindən hansı damara vurulur?,Ürək-damar sistemi,arteriolaya,ağciyər arteriyasına,ağciyər venasına,aortaya,yuxarı boş venaya,D
117,117. Bədən səthində ürəyin elektrik cərəyanlarının qeydiyyatı necə adlanır?,Ürək-damar sistemi,pulsometriya,elektromioqrafiya,elektroensefaloqrafiya,ultrasəs müayinə,elektrokardioqrafiya,E
118,118. Sakit vaxtı sistola zamanı ürək aortaya nə qədər qan qovur (sistolik həcm)?,Ürək-damar sistemi,20 ml,70 ml,32 ml,150 ml,16 ml,B
119,119. Ürəyin əsas vəzifəsi nədir?,Ürək-damar sistemi,enerji mübadiləsini həyata keçirmək,qan yaradıcı funksiyanı yerinə yetirmək,maddələr mübadiləsini yerinə yetirmək,anadangəlmə və sonradan qazanılan immuniteti formalaşdırmaq,qanı damar sisteminə qovmaq,E
