ID,Sual,Mövzu,A,B,C,D,E,correct
120,120. Sistolik və diastolik təzyiq arasındakı fərq nəyin göstəricisidir?,Ürək-damar sistemi,maksimal təzyiq,minimal təzyiq,nəbz təzyiqi,orta təzyiq,aorta təzyiqi,D
121,121. Sakitlik vaxtı qanın böyük və kiçik qan dövranlarından keçməsinin təxmini müddəti nə qədərdir?,Ürək-damar sistemi,45-50 san,12-16 san,8-10 san,20-23 san,1-2 dəq,D
122,122. Bədən toxumalarına qida və oksigen çatdırılması və maddələr mübadiləsi məhsulatının xaric edilməsi hansı damarlarda baş verir?,Ürək-damar sistemi,arteriol,kapilyar,venula,aorta,aşağı və yuxarı boş vena,B
123,123. Brodikardiya zamanı ürək vurğularının dəqiqəlik sayı nə qədər olur?,Ürək-damar sistemi,60 və aşağı,80,70,75,85,A
124,124. Həzmdə hansı kimyəvi fəal maddələr iştirak edir?,Həzm,mediatorlar,hormonlar,fermentlər,sulu maddələr,vitaminlər,C
125,125. Tüpürcəkdə hansı ferment mövcuddur?,Həzm,enterokinaza,lipaza,tripsin,amilaza,pepsin,D
126,126. On iki barmaq bağırsaqda hansı mühit var?,Həzm,turşu,qələvi,şirin,acı,duzlu,B
127,127. Hansı şöbədə həzm ödün iştirakı ilə həyata keçirilir?,Həzm,qaraciyərdə,mədədə,12 barmaq bağırsaqda,nazik bağırsaqda,yoğun bağırsaqda,C
128,128. Mədəaltı vəzinin hansı fermenti yağları parçalayır?,Həzm,laktaza,tripsin,amilaza,lipaza,nukleaza,D
129,129. İnsan orqanizmində sutka ərzində neçə ml öd əmələ gəlir?,Həzm,250-300 ml,100-200 ml,300-350 ml,50-100 ml,400-500 ml,E
130,130. Ödün tərkibində hansı piqment mövcuddur?,Həzm,insulin,bilrubin,serotonin,qlükaqon,enterokinin,B
131,131. Nazik bağırsağın hərəki funksiyasını hansı məddələr sürətləndirir?,Həzm,"amilaza, lipaza, protelaza","xolesterin, bilirubin","serotonin, xolin","fibrinogen, albumin","ptialin, maltaza",C
132,"132. Həzm prosesində qidanın kimyəvi dəyişikliyi dedikdə, nə başa düşülür?",Həzm,qana və limfaya sorulması,qarışdırılması,həzm aparatı boyunca hərəkəti,həzm fermentlərinin hidrolitik təsiri,qidanın xırdalanması,D
133,"133. Həzm prosesində qidanın fiziki dəyişikliyi dedikdə, nə başa düşülür?",Həzm,maddələr mübadiləsi qalıqlarının xaric olması,həzm fermentlərinin hidrolitik təsiri,qidanın qana sorulması,qidanın limfaya sorulması,qidanın xırdalanması və qarışdırılması,E
134,134. Qida ağız boşluğunda təxminən nə qədər saxlanılır?,Həzm,44-50 san,3-5 san,31-41 san,15-18 san,52-58 san,D
135,135. İlk həzm şirəsi hansıdır?,Həzm,öd,tüpürcək,lipaza,mədəaltı vəz şirəsi,bağırsaq şirəsi,B
136,136. Mədə şirəsinin əsas fermenti hansıdır?,Həzm,peptidaza və enterokinaza,aktin və miozin,amilaza və maltaza,nukleaza və tripsinogen,pepsin,E
137,137. Mədə şirəsinin tərkibinə daxil olan turşu hansıdır?,Həzm,nitrat turşusu,sulfat turşusu,ortofosfat turşusu,xlorid turşusu,süd turşusu,D
138,138. Mədədə qidanın həzmi adətən nə qədər davam edir?,Həzm,1-2 saat,3-4 saat,6-8 saat,12-15 saat,20-24 saat,C
139,139. Qaraciyər hansı əhəmiyyətli həzm şirəsini əmələ gətirir?,Həzm,emulsiya,amilaza,lipaza,nukleaza,öd,E
140,140. Yoğun bağırsağın mikroflorası aşağıdakı funksiyalardan hansını yerinə yetirmir?,Həzm,fermentlərin fəallığını azaldır,orqanizmi patogen mikroblardan müdafiə edir,bir sıra vitaminlərin sintezində iştirak edir,öd ifraz edir,sulu karbonları qıcqırdır və zülalları çürüdür,D
141,"141. Suyun intensiv sorulması, yəni qana və limfaya keçməsi əsasən harada baş verir?",Həzm,nazik bağırsaqlarda,yoğun bağırsaqlarda,qaraciyərdə,mədədə,qida borusunda,B
142,142. Həzm sistemindən müxtəlif maddələrin qana və limfaya keçməsinə nə deyilir?,Həzm,ləngimə prosesi,rearbsorbsiya prosesi,dissimil yasiya prosesi,sorulma prosesi,assimilyasiya prosesi,D
143,143. Mədədə hansı mühit mövcuddur?,Həzm,qələvi,turş,şirin,acı,duzlu,B
144,144. Mədə şirəsindəki hansı maddə bakteriosid xassəyə malikdir?,Həzm,pepsin,jelatinaza,xlorid turşusu,ximozin,lipaza,D
145,145. Zəhərli maddələr və yad zülallar hansı orqanda zərərsizləşdirilir?,Həzm,yoğun bağırsaqda,mədədə,12 barmaq bağırsaqda,qaraciyərdə,nazik bağırsaqda,D
146,146. Həzm sisteminin hansi şöbəsində nəcis əmələ gəlir?,Həzm,düz bağırsaqda,nazik bağırsaqda,12 barmaq bağırsaqda,yoğun bağırsaqda,mədədə,D
147,147. Aşağıdakılardan hansı assimilyasiya prosesinə aid deyil?,Maddələr mübadiləsi,mürəkkəb birləşmələrin sadələrə parçalanması,xarici mühitdən orqanizm üçün lazım olan maddələrin qəbulu,maddələrin orqanizm üçün yararlı olan birləşmələrə çevrilməsi,sadə birləşmələrdən mürəkkəblərin sintezi,ehtiyat toplanması,A
148,148. Aşağıdakılardan hansı dissimilyasiya prosesinə aid deyil?,Maddələr mübadiləsi,mürəkkəb birləşmələrin sadələrə parçalanması,enerji ilə zəngin birləşmələrin parçalanması,orqanizmdə söküntü məhsulların əmələ gəlməsi,canlı toxuma elementlərinin parçalanması,xarici mühitdən orqanizm üçün lazım olan maddələrin qəbulu,E
149,149. Maddələr mübadiləsi necə adlanır?,Maddələr mübadiləsi,diffuziya,ekspirasiya,metabolizm,inspirasiya,avtomatizm,C
150,150. Assimilyasiya və dissimilyasiya çox zaman hansı terminlə qeyd edilir?,Maddələr mübadiləsi,filtrasiya və rearbsorbsiya,anabolizm və katabolizm,adaptasiya və akkomodasiya,inspirasiya və ekspirasiya,sistola və diastola,B
151,151. Sulu karbonların əsas hissəsi əzələlərdə və qaraciyərdə nə şəklində toplanır?,Maddələr mübadiləsi,lipid,hormon,ferment,qlikogen,azot,D
152,152. Orqanizmdə sulu karbonların vacib deposu haradır?,Maddələr mübadiləsi,böyrəklər,dəri,ağciyərlər,ürək,qaraciyər,E
153,153. Hipoqlikemiya nədir?,Maddələr mübadiləsi,qanda qlükozanın miqdarının enməsi,oksigen çatışmazlığı,qida aclığı,ürək vurğularının sayının artması,əzələlərin böyüməsi,A
154,154. Bədənin ümumi kütləsinin hansı hissəsini su təşkil edir?,Maddələr mübadiləsi,5-May,3-Feb,40%,10%,90%,B
155,155. Orqanizmin enerji sərfi iki qrupa bölünür:,Maddələr mübadiləsi,sistola və diastola,assimilyasiya və dissimilyasiya,əsas mübadilə və əlavə enerji sərfi,inspirasiya və ekspirasiya,anabolizm və katabolizm,C
156,156. Dissimilyasiya nədir?,Maddələr mübadiləsi,qanın dövranı,tənəffüs,laxtalanma,"dağılma, parçalanma",ürəyin təqəllüsü,D
157,157. Zülallar həzm traktında hansı hissələrə parçalanır?,Maddələr mübadiləsi,fermentlərə,amin turşularına,yağlara,hormonlara,fruktozaya,B
158,158. Qida ilə daxil olan enerjinin orqanizmində sərf olunan enerjiyə nisbətinə:,Maddələr mübadiləsi,zülal mübadiləsi deyilir,həzm deyilir,tənəffüs deyilir,qidalanma deyilir,enerji balansı deyilir,E
159,159. Orqanizmin enerji sərfini hansı üsulla ölçmək olar?,Maddələr mübadiləsi,ÜVS ölçməsi,qan təzyiqini ölçmək,çəkiyi ölçmək,vasitəli və vasitəsiz kalorimetriya,elektrokardioqrafiya,B
160,160. 1 q zülal oksidləşdikdə neçə kilokalori enerji alınır?,Maddələr mübadiləsi,50 kkal,90 kkal,"4,1 kkal",20 kkal,100 kkal,C
161,161. 1 q yağ oksidləşdikdə neçə kilokalori enerji alınır?,Maddələr mübadiləsi,25 kkal,50 kkal,100 kkal,"9,3 kkal",2 kkal,D
162,162. 1 q karbohidrat oksidləşdikdə neçə kilokalori enerji alınır?,Maddələr mübadiləsi,"20,5 kkal","4,1 kkal",50 kkal,"10,5 kkal",100 kkal,B
163,163. Əzələ işi enerji sərfini:,Maddələr mübadiləsi,sabit saxlayır,azaldır,artırır,normadan aşağı salır,dayandırır,C
164,"164. Böyrəyin quruluşu, funksional vahidi necə adlanır?",İfrazat sistemi,akson,neyron,alveol,nefron,motoneyron,D
165,165. Aşağıdakılardan hansı ifrazat sisteminə aid deyil?,İfrazat sistemi,mədə-bağırsaq traktı,tər vəziləri,ağciyərlər,böyrəklər,qaraciyər,D
166,166. Nefron nədən ibarətdir?,İfrazat sistemi,aktin və miozindən,malpiki cisimciyindən və borucuqlardan,akson və dendritdən,motoneyronlardan və proprireseptorlardan,çöpcüklər və kolbacıqlardan,B
167,167. Birinci dərəcəli sidiyin geriyə süzülməsi necə adlanır?,İfrazat sistemi,degenerasiya,hipertrofiya,filtrasiya,rearbsorbsiya,akkomodasiya,B
168,168. Sutkada insanda təxminən nə qədər ikinci dərəcəli (son) sidik formalaşır?,İfrazat sistemi,5 l,"0,5 l",3 l,4 l,"1,5 l",E
169,169. Sidiyin əmələ gəlməsinin ali mərkəzi haradır?,İfrazat sistemi,uzunsov beyin,beyincik,hipotalamus,onurğa beyni,baş beyin yarımkürələr qabığı,C
170,170. Tərin neçə faizini su təşkil edir?,İfrazat sistemi,70-80%,98-99%,55-60%,45-50%,100%,B
171,171. Hansı orqanlar ifrazat sistemində mövcuddur?,İfrazat sistemi,"öd kisəsi, qaraciyər, dalaq","dalaq, qaraciyər, ürək","uzunsov beyin, onurğa beyin, baş beyin","epifiz, hipofiz","böyrəklər, tər vəziləri, ağciyərlər, mədə-bağırsaq traktı",D
172,172. Sutkada ilk sidiyin miqdarı?,İfrazat sistemi,4-5 l,50-10,100-200,150-180,1-2 l,D
173,173. Hansı hormonlar sidiyin əmələ gəlməsinin humoral tənzimində iştirak edirlər?,İfrazat sistemi,"somatotropin, oksitozin","tiroksin, timozin",parathormon,"insulin, qlükogon","aldosteron, vazopressin",E
174,174. Qlukokortikoidləri ifraz edən vəzin adı?,Daxili sekresiya vəziləri,epifiz,böyrəküstü vəzilər,cinsi vəzilər,tüpürcək vəziləri,öd xoraları,B
175,175. Noradrenalin və adrenalin hansı sistemi təşkil edir?,Daxili sekresiya vəziləri,parasimpatik sistem,vegetativ sistem,simpato-adrenal sistem,mərkəzi sinir sistemi,ali sinir fəaliyyəti,C
176,176. Böyrəküstü vəzinin qabıq maddəsinin hormonları neçə qrupa bölünür?,Daxili sekresiya vəziləri,3,5,1,2,4,A
177,177. Adaptiv hormonlar hansılardır?,Daxili sekresiya vəziləri,melatonin,mineralkortikoidlər,androgenlər,qlukokortikoidlər,"insulin, qlukokortikoidlər",E
178,178. Böyrəküstü vəzilər neçə hissədən ibarətdir?,Daxili sekresiya vəziləri,3,1,2,5,4,C
179,179. Qanda nəyin artması insulinin sekressiyasını çoxaldır?,Daxili sekresiya vəziləri,zülalların,şəkərin,yağların,hemoqlobinin,oksigenin,B
180,180. Qidanın tərkibində olan hansı element qalxanabənzər vəzinin funksiyasını təhciz edir?,Daxili sekresiya vəziləri,fosfor,şəkər,duzr,yod,su,D
181,181. Gənc orqanizmdə hansı hormonların çatışmamazlığı “kretinizm” xəstəliyinə gətirib çıxardır?,Daxili sekresiya vəziləri,melatonin,insulin,tiroksin,oksitosin,vazopressin,D
182,182. İmmunoloji reaksiyalarda iştirak edən çəngəlvari vəzin hormonu necə adlanır?,Daxili sekresiya vəziləri,asetilxolin,adrenalin,oksitolin,timozin,qlükoqon,D
183,183. Hipofiz neçə paydan ibarətdir?,Daxili sekresiya vəziləri,0,1,3,4,2,C
184,184. Dərinin rəngini hansı hormon dəyişdirir?,Daxili sekresiya vəziləri,insulin,noradrenalin,intermedin,somototropin,tiroksin,C
185,185. Hipofizin arxa payı nə qədər hormon ifraz edir?,Daxili sekresiya vəziləri,5,2,1,4,3,B
186,186. Orqanizmdə stress reaksiyası neçə mərhələdən ibarətdir?,Daxili sekresiya vəziləri,4,1,2,0,3,E
187,187. “Stress halı” orqanizmdə nə əmələ gətirir?,Daxili sekresiya vəziləri,ümumi uyğunlaşma reaksiyaya,oyanıcıqlığa,ləngiməyə,qıcıqlanmaya,labillikliyə,A
188,188. Hormonların əsas xüsusiyyəti nədədir?,Daxili sekresiya vəziləri,qidalandırıcı,spesifiklik,sürətləndirici,rəngverici,ləngidici,B
189,189. Şəkərli diabet xəstəliyi hansı üzvi maddələrin mübadiləsinin pozulması nəticəsində əmələ gəlir?,Daxili sekresiya vəziləri,nuklein turşuları,zülallar,yağlar,sulu karbonlar,vitaminlər,D
190,190. Daxili sekresiya vəzilərinin ifraz etdiyi bioloji fəal maddələr necə adlanır?,Daxili sekresiya vəziləri,fermentlər,katalizatorlar,hormonlar,zülallar,lipidlər,C
191,191. Bu hormonlardan hansına həyəcan hormonu da deyirlər?,Daxili sekresiya vəziləri,androgen,adrenalin,insulin,kortizol,tiroksin,B
192,192. Orqanizmdə insulin çatışmayan zaman hansı xəstəlik baş verə bilər?,Daxili sekresiya vəziləri,cırtdanboyluluq,hemofiliya,Bazedov,qiqantizm,şəkərli diabet,E
193,193. Mədəaltı vəzin hansı hormonları vardır?,Daxili sekresiya vəziləri,tiroksin və kalsitonin,adrenalin və noradrenalin,androgen və esterogen,insulin və qlükaqon,hamısı,D
194,194. Qalxanabənzər vəzin hormonları hansılardır?,Daxili sekresiya vəziləri,insulin və qlükaqon,adrenalin və noradrenalin,"tiroksin, triyodtironin, kalsitonin",androgen və esterogen,hamısı,C
195,195. Timus vəzi başqa cür necə adlanır?,Daxili sekresiya vəziləri,mədəaltı vəz,çəngəlvari vəz,böyrəküstü vəzilər,qalxanabənzər vəz,hipofiz,B
196,"196. Hansı vəz, bir növ orqanizmin “bioloji saatı” kimi təqdim edilir?",Daxili sekresiya vəziləri,qalxanabənzər vəz,böyrəküstü vəzilər,mədəaltı vəz,epifiz,timus,D
197,197. Hipofizin somototropin hormonu başqa cür necə adlanır?,Daxili sekresiya vəziləri,boy artma hormonu,arıqlama hormonu,həyəcan hormonu,ağıl hormonu,çəki artımı hormonu,A
198,198. Hansı vəzilər böyrəklərin üst qütbündə yerləşir?,Daxili sekresiya vəziləri,timus,hipofiz,mədəaltı,epifiz,böyrəküstü,E
199,"199. Həm həzm, həm də daxili sekresiya vəzi hansıdır?",Daxili sekresiya vəziləri,qara ciyər,mədəaltı vəz,öd kisəsi,qalxanabənzər vəz,çəngəlvari vəz,B
200,200. Qalxanabənzər vəz harada yerləşir?,Daxili sekresiya vəziləri,böyrəklərdə,beyində,mədədə,boyun nahiyəsində,ağciyərdə,D
201,201. İnsan fiziologiyası fənni nəyi öyrənir?,Ümumi fiziologiya,insanın toxumalarını,insanın orqanlarını,insanın hüceyrələrini,"insanın hüceyrələrinin, toxumalarının, orqan və orqanlar sisteminin funksiyasını",insanm quruluşu,D
202,202. Hüceyrənin əsas komponentləri hansılardır ?,Ümumi fiziologiya,"Membran, mitoxondri, lizosom","Sitoplazma, lizosom, nüvə","Plazmatik membran, nüvə, sitoplazma","Hüceyrə mərkəzi, orqonoidlər, lizosom","Nüvə,mitoxondri,orqanoidlər,membran",E
203,203. Hüceyrələrin əsas həyat xassələrini hansı proseslər müəyyən edir?,Ümumi fiziologiya,Biosintez  və oyanma,Biosintez və parçalanma,Oyanma və parçalanma,Yığılma və ötürmə,Ötürmə və oyanma,B
204,204. Sinir sisteminin əsas iş prinsipi hansıdır?,Sinir-əzələ sistemi,akson,sinaps,reflektor,dendrit,neyron,E
205,205. Neyronlarda gedən 2 mühüm proses necə adlanır?,Sinir-əzələ sistemi,oyanıcıqlıq və təqəllüs,refleks və reseptor,reflektor və refleks,qıcıqlanma və təqəllüs,oyanma və ləngimə,E
206,206. Damarların saya əzələsi neçə cür sinirlərlə təmin olunub?,Sinir-əzələ sistemi,4,2,3,5,6,B
207,207. Sadə refleks qövsünün əmələ gəlməsində neçə neyron iştirak edir?,Sinir-əzələ sistemi,3,1,2,5,4,C
208,208. Laboratoriya şəraitində insanda əzələ yorulmasını öyrənməkdən ötrü hansı cihazdan istifadə olunur?,Sinir-əzələ sistemi,mioqraf,kardioqraf,elektroensefaloqraf,erqoqraf,kinoqraf,D
209,209. Daxili üzvlərin divarını təşkil edən funksiyasına görə qeyri iradi əzələ necə adlanır?,Sinir-əzələ sistemi,bazu əzələləri,eninəzolaqlı əzələ,ürək əzələsi,said əzələləri,saya əzələ,E
210,210. Refleksin keçdiyi yol necə adlanır?,Sinir-əzələ sistemi,refleks,refleks qövsü,refleksogen,varol körpüsü,refikulyar formasiya,B
211,211. Mexano reseptorlar hansılardır?,Sinir-əzələ sistemi,səsi qəbul edən reseptorlar,işığı qəbul edən reseptorlar,istilik qəbul edən reseptorlar,mexaniki qıcıqları qəbul edən reseptorlar,kimyəvi maddələrin təsirindən oyanan reseptorlar,D
212,"212. Əzələlərdən, vətərlərdən, oynaqlardan məlumatı qəbul edən reseptorlar necə adlanır?",Sinir-əzələ sistemi,baro reseporlar,termo reseptorlar,feno reseptorlar,foto reseptorlar,proprio reseptorlar,E
213,213. Skelet əzələlərinin sakit vaxtda gərginliyinin saxlanılması necə adlanır?,Sinir-əzələ sistemi,metabalizm,katabalizm,tonus,moto neyronlar,dissimlassiya,C
214,214. Əzələlərin tipləri neçədir?,Sinir-əzələ sistemi,5,2,4,6,3,E
215,215. Hərəkət vahidi morfofunksional xüsusiyyətinə qörə neçə tipə bölünür?,Sinir-əzələ sistemi,2,3,1,5,7,B
216,216. Orqanizimdə əzələ kütləsi ümumi bədən kütləsinin neçə faizini təşkil edir?,Sinir-əzələ sistemi,40-50%,60-70 %,50-60%,30-40%,35-45%,D
217,217. Əzələ təgəllüsü üçün enerji mənbəyi?,Sinir-əzələ sistemi,mineral duzlar,sulu karbonlar,vitaminlər,yağlar,aminturşular,B
218,218. Əzələ qısalmasının dərəcəsinə görə neçə tip əzələ təqəllüsü olur?,Sinir-əzələ sistemi,2,4,3,5,1,A
219,"219. Hissi, hərəki və ara neyronlar bir-birindən nəyə görə fərqlənirlər?",Sinir-əzələ sistemi,Aid olduqları toxuma növünə görə,Xromosomların sayına görə,Funksiyalarına görə,Xromosomların forma və ölçülərinə görə,Nüvələrin sayına görə,C
220,220. Presinpatik ləngimənin struktur əsası ləngidici ara neyronların aksonların uclarından və ara neyronların aksonal uclarından törənən sinapslar necə adlanır?,Sinir-əzələ sistemi,Akso-muskular,Akso-somatik,Akso-dendrit,Akso-aksonal,Dendro-muskular,D
221,221. Fiziki və kimyəvi istilik tənzimi mərkəzi sinir sisteminin hansı hissəsinə tabedir?,Mərkəzi sinir sistemi,orta beyin,uzunsov beyin,onurğa beyin,ön beyin,hipotalamus,E
222,222. İnsanlarda likvorun (onurğa beyin mayesi) miqdarı necə ml-dir?,Mərkəzi sinir sistemi,40-60ml,80-100ml,120-150ml,160-180ml,180-200ml,C
223,223. Mərkəzi sinir sisteminə hansılar aiddir?,Mərkəzi sinir sistemi,ara beyin,baş beyin,uzunsov beyin,onurğa və baş beyin,onurğa beyin,D
224,224. Mərkəzi sinir sisteminin fəaliyyətinin nizamlanması hansı sinir proseslərinə əsaslanır?,Mərkəzi sinir sistemi,ləngimə,oyanıqcıqlıq,qıcıqlanma,refleks,oyanma və ləngimə,B
225,225. Onurğa beyni harada yerləşir?,Mərkəzi sinir sistemi,Baş beyində,Onurğa sütununda,Uzunsov beyində,Orta beyində,Beyincikdə,B
226,226. Varol körpüsü nədir?,Mərkəzi sinir sistemi,Orta beynin hissəsidir,Ara beynin hissəsidir,Beyin sütunun hissəsidir,Onurğa beynin hissəsidir,Beyinciyin hissəsidir,C
227,227. Simpatik sinir sisteminin vəzifəsinə nə aiddir?,Mərkəzi sinir sistemi,Beyin fəaliyyətinin passivləşməsi,Bəbəyin daralması,Ürək təqəllüsünün ləngiməsi,Tər vəzilərinin fəaliyyətinin azalması,Mator fəaliyyətin tezləşməsi,C
228,228. Ara beyinə neçə sahə daxildir?,Mərkəzi sinir sistemi,0,4,3,1,2,E
229,"229. Dörd təpəli cism, qara və qırmızı nüvələr hansı beyinin şöbəsinə daxildir?",Mərkəzi sinir sistemi,uzunsov beyin,orta beyin,ara beyin,böyük yarımkürələr,böyük beyin,B
230,230. Hansı hissi impulslar görmə qabarlarından keçmir?,Mərkəzi sinir sistemi,Qoxu,Görmə,Dadbilmə,Eşitmə,Dəri,C
231,231. Somatik sinir sistemi nəyi tənzim edir?,Mərkəzi sinir sistemi,Vəzilərin işini,Inkişaf proseslərini,Toxumaların trofik funksiyasını,Sklet əzələlərinin fəaliyyətini,Qan damarlarının fəaliyyətini,D
232,232. Yuxunun neçə fazası var?,Ali sinir fəaliyyəti və sensor sistem,1,2,3,5,4,B
233,233. Temperamentin neçə növü var?,Ali sinir fəaliyyəti və sensor sistem,2,5,3,6,4,E
234,234. Ali sinir fəaliyyətinin təlimini hansı alim yaradıb,Ali sinir fəaliyyəti və sensor sistem,N.Y.Vvedenski,İ.M.Seçenov,İ.P.Pavlov,A.F.Somoylov,A.A.Krestovnikov,C
235,235. Pavlovun insanları 4 temperament tiplərinə bölməsinin əsasını hansı sinir prosessləri təşkil edir?,Ali sinir fəaliyyəti və sensor sistem,Avtomatizm,Qıcıqlanma,Oyanma və ləngimə,Induksiya,"Irradiasiya,konsetrasiya",C
236,236. Hemoqlobinin dəm qazıyla birləşməsi necə adlanır?,Tənəffüs,methemoqlabin,hemoqlobin,qlobin,mioqlabin,karboksihemoqlobin,E
237,237. İnsan hüceyrələrinə oksigenin çatdırılması nəyin vasitəsi ilə baş verir?,Tənəffüs,Örtük toxumaları vasitəsi ilə,Sümüklər vasitəsi ilə,Sinirlər vasitəsi ilə,Qan vasitəsi ilə,əzələ vasitəsi ilə,D
238,238. Asqırma və öskürmə mərkəzləri harada yerləşir?,Tənəffüs,Beyincikdə,Uzunsov beyində,Orta beyində,Ara beyində,Baş beyin yarımkürələrində,B
239,239. Ağciyərlərin həyat tutumu nə ilə ölçülür?,Tənəffüs,tonometr,sfiqmomonometr,spirometr,dinamometr,veloqometr,C
240,240. Qansız üsulla qanın oksigenlə doyma səviyyəsinin ölçülməsi necə adlanır?,Tənəffüs,dinomometriya,spirometriya,sfıqmonometriya,oksihemometriya,veloqometriya,D
241,241. Orqanizmdə və toxumalarda oksigen azlığı necə adlanır?,Tənəffüs,hiperkopsiya,normokapiya,hipokapniya,hormooksiya,hipoksiya,E
242,242. CO2-in qanda azlığı necə adlanır?,Tənəffüs,hiperkopniya,hipokapniya,hipoksiya,hormokopsiya,hormolaksiya,B
243,243. İnsanlarda sakit vəziyyətdə O2-nin dəqiqəlik sərfiyyatı nəqədərdir?,Tənəffüs,250-300ml,100-150ml,350-400ml,200-250ml,150-200ml,A
244,244. Əzələ işi zamanı tənəffüsün sıxlığının və dərinliyinin artmasına nə deyilir?,Tənəffüs,hiperqlikemiya,hipertrofiya,hipertemiya,hiperventilyasiya,hipertoniya,D
245,245. Toxumalarda əmələ gələn karbon qazının az hissəsi hansı şəkildə daşınır?,Tənəffüs,Fibrinogenə birləşmiş şəkildə,Hemoqlobinlə birləşmiş şəkildə,Qaz qovucuqları şəkilində,Leykositlər tərəfindən udularaq,Qanda olan bəzi duzlarla birləşmiş şəkildə,E
246,246. Ağ ciyərlərin həyat tutumu neçə ml-rə bərabərdir?,Tənəffüs,5000,2000-3500,500,3500,3500-5000,E
247,247. Hansı üzvlər tənəffüs aparatına aid deyil?,Tənəffüs,Qırtlağ,Udlağ,Bronxlar,Nəfəs borusu,Ağız və burun boşluğu,C
248,248. Orta yaşlı insan neçə litr qan itirdikdə ölümlə nəticələnir?,Qan,"0,7-0,8","0,3 - 0,5","0,5-0,7","2-2,5","0,8 - 1",D
249,249. I qan qrupundan olan resipiyentə hansı qan qrupundan olan donorun qanı köçürülə bilər?,Qan,III qan qrupu,II qan qrupu,I qan qrupu,IV qan qrupu,II və III qan qrupları,C
250,250. II qan qrupundan olan donor hansı qan qrupuna mənsub olan resipiyentə qan köçürülə bilər?,Qan,III və IV,I və II,I və III,II və III,II və IV,E
251,251. III qan qrupundan olan resipiyentə hansı qan qrupundan olan donorun qanı köçürülə bilər?,Qan,I və II,I və III,II və III,III və IV,IV və II,B
252,252. IV qan qrupundan olan donor hansı qan qrupuna mənsub olan resipiyentə qan köçürülə bilər?,Qan,IV,III,I,II,I və II,B
253,253. Qanın turşulaşması necə adlanır?,Qan,adrenalin,asidoz,amilaza,ammonyak,alkoloz,B
254,254. Qanın qələviliyinin artması necə adlanır?,Qan,adrenalin,amilaza,asidoz,alkoloz,ammonyak,D
255,255. Qanda zülaların ümumi həcmi neçə faizdir?,Qan,20-25%,15-70%,7-8%,25-30%,35-40%,C
256,256. Qanın plazmasında albuminlər neçə faizdir?,Qan,"7,5%",5.50%,"6,5%","4,5%",8.50%,D
257,257. Qanın plazmasında qlobulinlər neçə faizdir?,Qan,11-12%,5-6%,7-8%,9-10%,2-3%,E
258,258. Qanın plazmasında fibrinogen neçə faizdir?,Qan,"0,2-0,4%","0,6-0.8%","0,8-1%",1-2%,2-3%,A
259,259. İdmançılarda hemoqlobinin miqdarı nə qədərdir?,Qan,800 qr,600 qr,700 qr,1000 qr,750 qr,D
260,260. Orqanizmdə limfanın miqdarı nə qədərdir?,Qan,"2-2,5 l",1-1.5 l,"2,5-3 l","3-3,5 l","3,5-4 l",B
261,261. Orqanizmin öz daxili mühitini saxlanılması necə adlanır?,Qan,hiperqlikemiye,hemopoyer,hemodinamika,homeostaz,hipoqlikemiya,D
262,262. Qanın osmotik təzyiqindən yüksək təyziqə malik olan məhlullar necə adlanır?,Qan,hiperklikemiya,hipoklikemiya,hipertonik,hemopoyer,homeostaz,C
