ID,Sual,Mövzu,A,B,C,D,E,correct
263,263. Qanın osmotik təzyiqindən az təzyiqə malik olan məhlullar necə adlanır?,Qan,Hemositoz,hipokemiya,hıperklikemıy,homepoyer,hipotonik,E
264,264. Neçə faiz NaCI-un məhluluna fizioloji məhlul deyilir?,Qan,"0,2%","0,9%","0,4%","0,6%","0,3%",B
265,265. Ertositlərin sayının artması necə adlanır?,Qan,Eritropoyer,Eritropeniya,Eritirositos,Hemorir,Erıtrosit,C
266,266. Eritrositlərin əmələ gəlməsi necə adlanır?,Qan,Hemopoez,Eritirositos,Eritropeniya,Eritropoyez,Eritrosit,D
267,267. Eritrositlərin azalması necə adlanır?,Qan,Hemopoez,Erıtlrositos,Eritropoyer,Eritropeniya,Eritrosit,D
268,268. İnsanın sakit vəziyyətində qanın ümumi həcminin neçə %-i qan deposunda saxlanılır?,Qan,30-40%,20-30%,45-50%,10-20%,60-70%,D
269,269. Leykositlərin normal artmasına nə deyilir?,Qan,limfosit,leykopeniya,leykoz,leykositoz,leykotroz,D
270,270. Normal qanın kimyəvi reaksiyası?,Qan,zəif turş,turş,qələvi,neytral,zəif-qələvi,E
271,271. Neçə qan qrupu var?,Qan,4,3,5,2,6,A
272,272. Mıogen leykositoz nəyə deyilir?,Qan,Əzələ işi zamanı leykositlərin azalması,Əzələ işi zamanı eritrositlərin artması,Əzələ işi zamanı leykositlərin artması,Leykoz,Faqasitozun uzanması,C
273,273. Qanın plazmasında normada neçə mq % qlukoza olmalıdır?,Qan,70-80 mq%,80-100 mq%,60-70 mq%,100-140 mq%,140-160 mq%,B
274,274. Qanın plazmasının tərkibinin neçə faizi sudur?,Qan,82-90%,75-80%,90-92%,65-70%,50-75%,C
275,275. Plazmanın mütləq çəkisi nə qədərdir?,Qan,"1,21-1,24","1,05-1,06","1,15-1,25","1,02-1,03","1,01-1,08",D
276,276. Qanın mütləq çəkisi nə qədərdir?,Qan,"1,09-1,1","1,07-1,08","1,11-1,12","1,15-1,17","1,05-1,06",E
277,277. Qanın laxtalanması neçə mərhələdə baş verir?,Qan,2 mərhələ,3 mərhələ,5 mərhələ,4 mərhələ,6 mərhələ,B
278,278. Arterial qanda oksigenin doyma dərəcəsi?,Qan,87-96%,85-89%,96-97%,75-80%,70-75%,C
279,279. Qan plazmasında olan zülalları göstərin?,Qan,"Hemoqlobin, miozin, aktin","Albuminlər, qlobulinlər, fibrinogen","Mioqlabin, aktin, hemoqlobin","Albumin, aktin, miozin","Hemoqlobin, miozin, qlobulin",B
280,280. Limfositlər leykositlərin ümumi sayının neçə faizini təşkil edir?,Qan,"0,5-1%",57-73%,1-4%,25-30%,6-8%,D
281,281. Miogen leykositoz nə zaman baş verir?,Qan,Hiss-həyəcan keçirən zaman,İltihabi proses zamanı,Orta dağ şəraitində,Qida həzmi zamanı,Əzələ işi zamanı,E
282,282. Əzələ işi zamanı qanın laxtalanması necə dəyişilir?,Qan,Zəifləyir,Dəyişilmir,Artır,Laxtalanmır,qismən dəyişilir,C
283,283. Eritrositlərin azalması necə adlanır?,Qan,Erıtlrositos,Eritropeniya,Eritropoyz,Hemodinamika,Eritrosit,B
284,284. Leykositlərin (faqozitlərin) funksiyasını (faqotsitoz) ilk dəfə hansı alim demişdir?,Qan,Krestovnikov A.A.,Seçenov İ.M.,Pavlov İ.P.,Vredenski N.,Mernikov İ.N.,E
285,285. Hemofiliya zamanı qanın hansı funksiyası pozulur?,Qan,qida maddələrinin daşınması,oksigen daşınması,humoral tənzim,laxtalanma,faqositoz,D
286,286. Orqanizmin yolxucu xəstəliklərə tutulmamaq qabiliyyəti nə cür adlanır?,Qan,laxtalanma,immunitet,faqositoz,qanazlığı,hemofiliya,B
287,287. III qan qrupu olan insana hansı qan qruplarını köçürtmək olar?,Qan,"I,III","I,II","II,III","II,IV","III,IV",A
288,288. Hemoqlobinin zülaldan ibarət olan hissəsi necə adlanır?,Qan,Hem,Fibrogen,Fibrin,Qlobin,Insulin,D
289,289. Limfa düyünlərində nə əmələ gəlir?,Qan,Trombositlər,Eritrositlər,Leykositlər,Xəstəliktörədən mikroorqanizmlər,Hemoqlobin,C
290,290. Hemoqlobinin qana qırmızı rəng verən hissəsi nə cür adlanır?,Qan,Insulin,Fibrinogen,Fibrin,Qlobin,Hem,E
291,291. Uşaqlara valideynlərdən keçən immunitet nə cür adlanır?,Qan,Qeyri-irsi,Anadangəlmə,Faqositoz,Süni,Sonradan qazanılan,B
292,292. pH azalması (qanın turşulanması) necə adlanır?,Qan,Alkoloz,asidoz,Hiperqlikemiya,Hipoksiya,Oksidləşmə,B
293,293. pH artması necə adlanır?,Qan,Glikoliz,Asidoz,Hiperkapniya,Fosfogenoliz,Alkaloz,E
294,294. Müəyyən xəstəliklərə qarşı orqanizmin müqavimətin artmasına nə deyilir?,Qan,Leykositoz,Qanın PH reaksiyası,Qanın bufer sistemi,Immunitet,Hemopoez,D
295,295. Qanda aqlyütinin aqlutinoqenlə rastlaşarsa hansı reaksiya baş verir?,Qan,Laxtalanma,Aqqlütinasiya,CO2 çoxalması,Reaksiya baş vermir,N2-azotun çoxalması,B
296,296. CO2-in qanda azlığı necə adlanır?,Qan,hipoksiya,hiperkopniya,hipokapniya,hormokopsiya,hormolaksiya,C
297,297. Qanın osmotik təzyiqi neçəyə bərabərdir?,Qan,15-20,20-25,30-35,8-Jul,35-40,D
298,298. Skelet əzələlərində və miokardda olan əzələ hemoqlobini necə adlanır?,Qan,karbooksithemoqlobin,mioqlobin,qlobin,methemoqlobin,hemoqlobin,B
299,299. İlk dəfə qan dövranını hansı alim təsvir edib?,Ürək-damar sistemi,P.K.Anoxin,http://İ.İ.Meçnikov,Rene Dekart,Lui Paster,Harvey Vilyam,E
300,300. Arterial qan təzyiqi hansı aparat ilə ölçülür?,Ürək-damar sistemi,pulsotaxometr,tonometr,elektrokordioqraf,elektroensefaloqrof,spirometr,B
301,301. Ürəyin neçə kamerası var?,Ürək-damar sistemi,5,3,4,6,8,C
302,302. Ürəyin normal ritmi nə qədərdir?,Ürək-damar sistemi,40-45,70-75,50-55,85-90,90-95,B
303,303. Qanın plazmasında normada neçə mq % qlikoza vardır?,Ürək-damar sistemi,100-140 mq%,70-80 mq%,60-70 mq%,80-100 mq%,140-160 mq%,D
304,304. 1 saniyədə qanın damarlarda hərəkətinin surətinə nə deyilir?,Ürək-damar sistemi,nəbz təzyiqi,minimal təzyiq,maksimal təzyiq,qanın həcmi surəti,qanın xətti surəti,E
305,305. İnsan orqanizmində ən iri qan damarı hansıdır?,Ürək-damar sistemi,Vena,Aorta,Arteria,Qapı venası,Böyrək arteriyası,B
306,306. Damarlarda qanın hərəkətinə səbəb olan ürək tərəfindən yaradılan qüvvəyə nə deyilir?,Ürək-damar sistemi,sistola,nəbz,qan təzyiqi,qanın dəqiqəlik həcmi,qanın xətti sürəti,C
307,307. Taxikardiya zamanı ürək vurğularının dəqiqəlik sayı nə qədər olur?,Ürək-damar sistemi,60,180,74,90 və yuxarı,55,D
308,308. Böyük qan dövranı haradan başlanır?,Ürək-damar sistemi,Ağciyər arteriyasından,Sağ qulaqcığdan,Sağ mədəcikdən,Sol qulaqcığdan,Sol mədəcikdən,E
309,309. Ürəkdən başlayaraq qanı bədənin ayrı-ayrı hissələrinə daşıyan damarlar necə adlanır?,Ürək-damar sistemi,Limfa damarları,Venalar,Kapilyarlar,Arteriyalar,Limfa düyünləri,D
310,310. Divarları bir qat yastı epitel hüceyrələrindən əmələ gələn ən kiçik damarlar?,Ürək-damar sistemi,Arteriyalar adlanır,Kapilyar adlanır,Venalar adlanır,Limfa damarları adlanır,Limfa düyünləri,B
311,311. İnsanın hansı damarından axan qanda oksihemoqlobinin miqdarı daha çox olur?,Ürək-damar sistemi,Yuxarı boş venadan,Ağciyər venasından,Ağciyər arteriyasından,Aşağı boş venadan,Qapı venasından,B
312,312. Damarlarda qanın hərəkətinin əsas göstəriciləri?,Ürək-damar sistemi,CO2 daşınması,O2 daşınması,Həcmi və xətti sürət,Mikrosirkulyasiya,Damarların diametri,C
313,313. İnsan ürəyində neçə qulaqcıq var?,Ürək-damar sistemi,3,2,4,Ayrılmır,5,C
314,314. İdmançılarda məşqin təsiri ilə sakit vəziyyətdə ürək vurğularının sayı necə dəyişilir?,Ürək-damar sistemi,Gücləşir,Çoxalır,Azalır,Dəyişmir,Aritmikdir,C
315,315. Ürək fəaliyyətinə müvafiq arteriya damarlarının dalğalanmasına nə deyilir?,Ürək-damar sistemi,Sistolik təzyiq,anakrot,Katakrot,Diastolik təzyiq,Nəbz,E
316,316. Mədə şirəsi ifrazının tənzimi neçə fazadan ibarətdir?,Həzm sistemi,5,3,4,1,2,E
317,317. Ödün bağırsağa ifrazı neçə yolla tənzimlənir?,Həzm sistemi,4,3,2,5,6,C
318,"318. Qidanın iyi, görkəmi təsirindən mədə şirəsinin ifrazını İ.P.Pavlov necə adlandırmışdı?",Həzm sistemi,həzm,aclıq,susuzluq,iştaha,Qidalanma,D
319,319. İnsan orqanizmində mədəaltı vəzi 24 saat ərzində neçə litr şirə ifraz edir?,Həzm sistemi,"1,5-2 lt","1-1,5 lt","0,5-1 lt","2-2,5 lt","2,5-3 lt",A
320,320. İnsan orqanizmində qaraciyərdə sutka ərzində neçə ml öd yaranır?,Həzm sistemi,350-500,250-350,500-1000,200-250,1000-1500,C
321,321. Qidanın həzmi ilk dəfə hardan başlayır?,Həzm sistemi,nazik bağırsaqda,udlaqdan,12 barmaq bağırsaqda,mədədən,ağızda,E
322,322. Bədən hərarətinin artması necə adlanır?,Maddələr mübadiləsi,Hipokapniya,Hipertermiya,Hipotermiya,Hıpoqlikemiy,Hipoksiya,B
323,323. Bədən hərarətinin azalması necə adlanır?,Maddələr mübadiləsi,hipoksiya,hipertermiya,hipotermiya,Hipoqlikemıya,Hipokopniya,D
324,324. Həyat fəaliyyəti üçün hüceyrələri enerji ilə təmin edən mübadilə proseslərinə nə deyilir?,Maddələr mübadiləsi,enerjinin sərf olunması,enerjinin yaranması,enerjinin saxlanması,energetik proseslər,plastik proseslər,B
325,325. Tər vəzilərinin innervasiyası hansı sinir vasitəsi ilə yerinə yetirilir?,Maddələr mübadiləsi,parasimpatik,simpatik,oturaq sinir,onurğa beyin,baş beyin,B
326,326. Assimilyasiya nədir?,Maddələr mübadiləsi,laxtalanma,həzm,ifrazat,"əmələ gəlmə, yığılma",tənəffüz,D
327,327. Qanda şəkərin miqdarının artması necə adlanır?,Daxili sekresiya vəziləri,hormone,hipoqlikemiya,hemostaz,humoral,hiperqlikemiya,E
328,328. Qanda şəkərin miqdarının azalması necə adlanır?,Daxili sekresiya vəziləri,hemostaz,hiperqlikemiya,hipoqlikemiya,humoral,hormon,C
329,329. Ürək fəaliyyətini artıran hormona nə deyilir?,Daxili sekresiya vəziləri,somatatrop,adrenalin,troyodtronin,tiroksin,insulin,B
330,330. Hansı endokrin vəzisi kortikotrop hormonı ifraz edir?,Daxili sekresiya vəziləri,böyrəküstü,epifiz,mədəaltı,hipofiz,çəngəlvari,D
331,331. Uşaqlıq dövründə hansı hormonun artıq ifrazı “qiqantizmə” gətirib çıxardır?,Daxili sekresiya vəziləri,insulin,somatotropin,adrenalin,glükoqon,oksitosin,B
332,332. Endokrin vəzilərdən neçəsi qarışıq vəzilərdir?,Daxili sekresiya vəziləri,4,1,2,3,5,C
333,333. Hansı endokrin vəzi parathormon hormon ifraz edir?,Daxili sekresiya vəziləri,böyrəküstü,hipofiz,mədəaltı,paratiroid,cinsi,D
334,334. Böyrəküstü vəzinin beyin maddəsinin hormonları hansılardı?,Daxili sekresiya vəziləri,Tiroksin,Melatonin,"Adrenalin, noradrenalin","Insulin, glükoqon",Somatotropin,C
335,335. Hansı daxili sekresiya vəzisinin funksiyası qidada yodun miqdarının kifayət qədər olmasından asılıdır?,Daxili sekresiya vəziləri,Hipofiz,Qalxanabənzər,Mədəaltı,Epifiz,Cinsi,B
336,336. Aşağıdakı vəzilərdən hansının ifraz etdiyi bioloji fəal maddələr hormon adlanır?,Daxili sekresiya vəziləri,Tər,Ağız suyu,Böyrəküstü,Mədə,Qaraciyər,C
337,337. “Bioloji saatin” işi hansı hormonla bağlıdır?,Daxili sekresiya vəziləri,Proqesteron,Adrenalin,Melatonin,Insulin,Tiroksin,B
338,338. Melatonin hormon hansı endokrin vəzinin bioloji fəal amilidir?,Daxili sekresiya vəziləri,Mədəaltı,Hipofiz,Böyrəküstü,Epifiz,Cinsi,D
339,339. Daxili sekresiya vəzilərin hazırladığı bioloji aktiv maddələr necə adlanır?,Daxili sekresiya vəziləri,Şirələr,Fermentlər,Katexolominlər,Mediatorlar,Hormonlar,E
340,340. Qanda şəkərin miqdarının artması necə adlanır?,Daxili sekresiya vəziləri,hiperqlikemiya,hipoqlikemiya,hemostaz,humoral,hormone,A
341,341. Qanda şəkərin miqdarının azalması necə adlanır?,Daxili sekresiya vəziləri,hiperqlikemiya,hipoqlikemiya,hemostaz,humoral,hormone,B
342,342. Fermentlər neçə qrupa bölünür?,Həzm sistemi,2,4,3,5,6,C
343,343. Həzm olunan maddələr həzm aparatından hara sorulur?,Həzm sistemi,Mədəaltı vəzi,Qaraciyərə,Mədə və bağırsağa,Qan və limfaya,Ağız,D
344,344. Qidanın kimyəvi və fiziki dəyişilməsi prosesi nə adlanır?,Həzm sistemi,Parabioz,Tənəffüs,İfrazat,Maddələr mübadiləsi,Həzm,E
345,345. Tüpürcəyin sutka ərzində ifrazı nə qədərdir?,Həzm sistemi,"1-1,5 litr",1-2 litr,2-3 litr,1-3 litr,2-4 litr,A
346,346. Qidanın kimyəvi dəyişməsi nəyin hesabına baş verir?,Həzm sistemi,İnsulinin,Həzm vəzilərinin,Tüpürcək vəzilərinin,Maltozanın,Fermentlərin,E
347,347. Mədə şirəsinin əsas fermentləri hansılardır?,Həzm sistemi,Lipidlər və zülallar,Proteaza və lipaza,Karbohidratlar,Pankreozim,Laktat,B
348,348. Tüpürcək ifrazı mərkəzi baş beynin hansı şöbəsində yerləşir?,Həzm sistemi,Beyincik,Ara beyin,Uzunsov beyin,Arxa beyin,Orta beyin,C
349,349. Həzm fermentləri hansılardır?,Həzm sistemi,"Zülal, karbohidrat və lipidlər",Zülal və karbohidratlar,Maltoza və lipazalar,"Proteaza, lipaza, karbohidrazalar",İnsulin və glukaqon,C
350,350. Mədə sekresiyası prosesi hansı fazalara bölünür?,Həzm sistemi,"Şərti, şərtsiz","Mürəkkəb reflektor, neyrokimyəvi, bağırsaq","Mədə, bağırsaq, qida borusu","Ağız, udlaq, qida borusu","Kimyəvi, humoral",B
351,351. İnsanda sutka ərzində nə qədər mədəaltı vəzi şirəsi ifraz olunur?,Həzm sistemi,"1,5-2 litr","1,5-3 litr","2-2,5 litr","2,5-3 litr",3-4 litr,A
352,352. Qida qəbulundan neçə müddət sonra mədəaltı vəzin sekresiyası başlayır?,Həzm sistemi,10-15 dəqiqə,5-6 dəqiqə,1-2 saat,30-35 dəqiqə,2-3 dəqiqə,E
353,353. Öd hansı maddənin təsiri nəticəsində tünd rəngdə olur?,Həzm sistemi,Amilaza,Nukleaza,Lipaza,Bilirubin,Tripsin,D
354,354. Bağırsaqda sutka ərzində neçə qram yağ sorulur?,Həzm sistemi,100-150 qr,150-200 qr,150-160 qr,100-200 qr,200-250 qr,C
355,355. Membran həzmi harada yaranır?,Həzm sistemi,Mədənin divarında,Membranlarda,Sitoplazmada,Mikroxovlarda,Neyronda,D
356,356. Yağlar hansı formada sorulur?,Həzm sistemi,Sorulmur,Yalnız qliserin şəklində,Yağ turşuları və qliserin şəklində,Yalnız yağ turşuları şəklində,Aminturşular şəklində,B
357,357. Orqanizmlə xarici mühit arasında baş verən qazlar mübadiləsini nə adlandırmaq olar?,Tənəffüs sistemi,Damar sistemi,Həzm sistemi,İfrazat sistemi,Maddələr mübadiləsi,Tənəffüs sistemi,E
358,358. Ağ ciyərin funksional vahidi nədir?,Tənəffüs sistemi,Bronxiollar,Bronxlar,Alveollar,Ağ ciyər payı,Ağız boşluğu,D
359,359. Quru havada azotun miqdarı nə qədərdir?,Tənəffüs sistemi,80%,78%,50%,24%,60%,B
360,360. Quru havada oksigenin miqdarı nə qədərdir?,Tənəffüs sistemi,"20,95%","21,56%",27%,"22,57%",40%,A
361,361. Nəfəs verdikdən sonra alveollarda qalan hava nə adlanır?,Tənəffüs sistemi,Alveolyar hava,Tənəffüs hava,Ehtiyat hava,Ağ ciyərdə hava qalmır,Ümumi hava,A
362,362. Oksihemoqlobin necə əmələ gəlir?,Tənəffüs sistemi,Oksigenlə azotun birləşməsi nəticəsində,Oksigenlə hemoqlobinin birləşməsi nəticəsində,Oksigenlə karbon qazının birləşməsi nəticəsində,Oksigenlə arqonun birləşməsi nəticəsində,Karbon qazının dəm qazı ilə birləşməsi nəticəsində,B
363,363. Qanın oksigen həcmi dedikdə nə başa düşülür?,Tənəffüs sistemi,300 ml qanda həll olan oksigenin maksimal miqdarı,200 ml qanda həll olan oksigenin maksimal miqdarı,100 ml qanda həll olan oksigenin maksimal miqdarı,400 ml qanda həll olan oksigenin maksimal miqdarı,1 l qanda həll olan oksigenin maksimal miqdarı,D
364,364. İnsanda ifrazat funksiyasını aşağıdakılardan hansıları yerinə yetirir?,İfrazat sistemi,Mədə,Vəzilər,Ağ ciyər və qaraciyər,Qaraciyər və tər vəziləri,"Böyrəklər, tər vəziləri",E
365,365. Son sidik hansı proseslərin nəticəsidir?,İfrazat sistemi,"Süzülmə, sekresiya, sorulma","Süzülmə, geriyə süzülmə, sekresiya","Sorulma, tərin ifrazı, böyrək axacaqlarında sorulma","Böyrək ləyənlərində süzülmə, piramidlərdə sorulma",Həzm prosesləri,B
366,366. Geriyə süzülmə prosesi nə adlanır?,İfrazat sistemi,Filtrasiya,Regerenasiya,Reabsorbsiyа,Hiperhidratasiya,Hidratasiya,C
367,367. Süzülmə prosesi nə adlanır?,İfrazat sistemi,Reabsorbsiyа,Filtrasiya,Regerenasiya,Hiperhidratasiya,Dekompensasiya,B
368,368. Sutka ərzində orta hesabla ifraz olunan tərin miqdarı nə qədərdir?,İfrazat sistemi,100-200 ml,200-300 ml,500-600 ml,600-700 ml,800-1000 ml,C
369,369. Fiziki iş zamanı böyrəklərdə qan təchizatının dəqiqəlik miqdarı necə dəyişir?,İfrazat sistemi,2-3 dəfə artır,4-5 dəfə artır,Dəyişmir,4-5 dəfə azalır,2-3 dəfə çoxalır,D
370,370. Sutka ərzində əmələ gələn ilk sidiyin miqdarı nə qədərdir?,İfrazat sistemi,50-80 l,180-200 l,130-150 l,100-120 l,150-180 l,E
371,371. Neyronun ən uzun çıxıntısı hansıdır?,Sinir-əzələ sistemi,Dentrit,Akson,Motoneyron,Ara neyron,Vətər,B
372,372. Ürək əzələsi ilə eninəzolaqlı əzələ nə ilə fərqlənir?,Sinir-əzələ sistemi,Fərqlənmir,"Eninə zolaqlı əzələ qeyri iradidir, ürək əzələsi iradidir","Eninə zolaqlı əzələ daxili üzvlərin divarında olur, ürək əzələsi ürəkdə","Eninə zolaqlı əzələ iradidir, ürək əzələsi qeyri iradidir","Eninə zolaqlı əzələ daxili üzvlərin divarında olur, ürək əzələsi iradidir",D
373,373. Sinir-əzələ aparatının əsas morfo-funksional elementi nədir?,Sinir-əzələ sistemi,Akson,Nefron,Neyron,Sinir-əzələ sinapsı,Hərəki vahid,E
374,374. Tək əzələ təqəllüsü nədir?,Sinir-əzələ sistemi,"Əzələ lifinin, yaxud tam əzələnin birdəfəlik qıcığa qarşı mexaniki cavabı",Xarici yükün təsirindən əzələnin inkişaf etdiyi gərginliyi azaldan təqəllüs,İnsan orqanizminin təbii şəraitdə qıcolması,Motoneyronların impulsasiyasının sıxlığı,Əzələnin yorulması,A
375,375. Tək əzələ təqəllüsü neçə fazaya ayrılır?,Sinir-əzələ sistemi,2,3,4,5,6,A
376,376. Qısalmanın dərəcəsinə görə əzələ təqəllüsünün hansı tipləri vardır?,Sinir-əzələ sistemi,"Tonik, yorulma","İzotonik, auksotonik, gərginləşmə","Gərginliyin inkişafı, gərginliyin boşalması","Gərginliyin inkişafı, izometrik, izotonik","İzotonik, izometrik, auksotonik",E
377,377. Əzələ təqəllüsü üçün enerji mənbəyi nədir?,Sinir-əzələ sistemi,ADF,ATF,AMF,Müxtəlif fermentlər,Su,B
378,378. Morfofunksional xüsusiyyətinə görə hərəki vahidin tipləri hansıdır?,Sinir-əzələ sistemi,"1. Ləng, yorulmaya davamlı; 2. Sürətli, yorulmayanı","1. Ləng, tez yorulan; 2. Sürətli, yorulmayan; 3. Sürətli, tez yorulan","1. Ləng, yorulmayan; 2. Sürətli, yorulmaya davamlı; 3. Sürətli, tez yorulan","1. Ləng, tez yorulan; 2. Sürətli, yorulmaya davamlı; 3. Sürətli, yorulmayan","1. Ləng, güvvətsiz; 2. Ləng, yorulmayan; 3. Ləng, yorulan",C
379,379. Saya əzələlər harada yerləşir?,Sinir-əzələ sistemi,Ürək əzələsidir,Skeletin üzərində,Daxili üzvlərin və qan damarlarının divarında,"Həm skelet, həm də daxili üzvlərin divarlarında",Beyində,C
380,380. Maddələr mübadiləsi prosesi 2 qrupa bölünür:,Maddələr mübadiləsi,"Şərti, şərtsiz","Assimilyasiya, dissimilyasiya","Anabolizm, assimilyasiya","Zülal, karbohidrat mexanizmləri","Katabolizm, dissimilyasiya",B
381,381. Orqanizmin mayelərinin osmotik təzyiqini təmin edən birləşmələr hansılardır?,Maddələr mübadiləsi,Üzvi birləşmələr,Qeyri üzvi birləşmələr,Mineral birləşmələr,Su,Karbohidratlar,C
382,382. Orqanizmdə suyun miqdarı nə qədərdir?,Maddələr mübadiləsi,Bədənin ümumi kütləsinin dördə ikisi qədər,Bədənin ümumi kütləsinin ikidə biri qədər,Bədənin ümumi kütləsinin üçdə biri qədər,Bədənin ümumi kütləsinin üçdə ikisi qədər,Bədənin ümumi kütləsinin dördə üçü qədər,D
383,383. Mineral maddələr orqanizmdən necə xaric olunur?,Maddələr mübadiləsi,Tənəffüs nəticəsində,Mineral maddələr qana və limfaya sorulur,Tənəffüs aktı hesabına xaric olunur,Yalnız sidik vasitəsi ilə xaric olunur,"Sidiyin, tərin və nəcisin tərkibində",E
384,384. Uzun müddətli gərgin əzələ işi zamanı orqanizmdə nə qədər su itkisi baş verir?,Maddələr mübadiləsi,3-6 l,6-8 l,3-4 l,5-6 l,8-10 l,A
385,385. Orqanizmin enerji sərfini təyin etmək üçün hansı üsullardan istifadə etmək olar?,Maddələr mübadiləsi,Yalnız istilik istehsalının ölçülməsi,1. Orqanizmin enerji ehtiyatlarının artması; 2. Oksigen tələbatının artması; 3. İstilik istehsalının ölçülməsi,Yalnız oksigen tələbatının miqdarının təyini,1. Orqanizmin enerji ehtiyatlarının azalması; 2. Oksigen tələbatının təyini; 3. İstilik istehsalının ölçülməsi,Yalnız yağların istehsalının ölçülməsi,D
386,386. “Vasitəli” kalorimetriya nədir?,Maddələr mübadiləsi,Qanda oksigenin miqdarının ölçülməsi üsulu,Enerji sərfini istilik istehsalının ölçülməsi ilə təyin etmə üsulu,Qanda karbon qazının ölçülməsi üsulu,Enerji sərfini oksigen tələbatının əsasında təyin etmək üsulu,Tənəffüs əmsalının ölçülməsi,B
387,387. “Vasitəsiz” kalorimetriya nədir?,Maddələr mübadiləsi,Tənəffüs əmsalının ölçülməsi,Qanda oksigenin miqdarının ölçülməsi üsulu,Qanda karbon qazının ölçülməsi üsulu,Enerji sərfini istilik istehsalının ölçülməsi ilə təyin etmə üsulu,Enerji sərfini oksigen tələbatının əsasında təyin etmək üsulu,E
388,388. Sinir mərkəzlərində ləngimə prosesi kim tərəfindən kəşf olunmuşdur?,Mərkəzi sinir sistemi,V. Harvey,İ.P. Pavlov,İ.M. Seçenov,A.A. Uxtomski,T.D. Qayibov,C
389,389. Əmələ gəlmə yerinə görə neçə cür ləngimə olur?,Mərkəzi sinir sistemi,5,3,4,2,6,D
390,390. Onurğa beynin boz maddəsində nə qədər sinir hüceyrəsi vardır?,Mərkəzi sinir sistemi,"11,5 mln","13,5 mln","10,8 mln","15,3 mln",20 mln,B
391,391. Orta beynə nə daxildir?,Mərkəzi sinir sistemi,Varol körpüsü,"Talamus, hipotalamus","4 təpəli cism, qara və qırmızı nüvələr","Beyincik, bazal nüvələr","Qabıq, mərkəz",C
392,392. Ara beynin hansı hissələri vardır?,Mərkəzi sinir sistemi,"Beyincik, bazal nüvələr","4 təpəli cism, qara və qırmızı nüvələr",Varol körpüsü,"Görmə qabarı, qabaraltı sahə",Uzunsov beyin,C
393,393. Beyincik nədən ibarətdir?,Mərkəzi sinir sistemi,Boz maddədən,Yalnız cüt yarımkürələrdən,Soxulcan və bir ədəd yarımkürədən,Yalnız soxulcandan,Soxulcandan və bir cüt yarımkürədən,E
394,394. Beyinciyin əsas vəzifəsi nədir?,Mərkəzi sinir sistemi,Yalnız hərəkət fəaliyyətini təmin edir,Hiss orqanlarının işini təmin edir,Bəzi orqanlarımızın mərkəzlərini tənzimləyir,Hərəkət fəaliyyətini və tonik reaksiyaları təmin edir,Analizatorları idarə edir,D
395,395. Qabıq hüceyrələrinin əsas növləri hansı neyronlardır?,Mərkəzi sinir sistemi,"Akson, dentrit","Ulduzvari, piramid","Akson, piramid","Dentrit, ulduzvari",Aksonlar,B
396,396. Beyinə gələn məlumatın emalı hansı yarımkürələrin fəaliyyətinin nəticəsidir?,Mərkəzi sinir sistemi,Sağ yarımkürələrin,Sol yarımkürələrin,Hər iki yarımkürələrin,Heç biri,Beyinciyin,C
397,397. Analizatorlar hansı şöbələrdən ibarətdir?,Analizatorlar,"Qəbuledici, nəqledici hissə, baş-beyin qabığında mərkəzi şöbə","Qəbuledici, nəqledici hissə, baş-beyin yarımkürələri","Qəbuledici, baş-beyin qabığında mərkəzi şöbə, hissi orqan","Qəbuledici, nəqledici hissə, orqanlar","Reflektor, hiss, uzunsov beyin",A
398,398. İki nöqtə arasında olan ən kiçik məsafəni görmə qabiliyyəti nə adlanır?,Analizatorlar,Görmə tezliyi,Görmə bucağı,Görmə itiliyi,Görmə sürəti,Görmə sahəsi,C
399,399. Orqanizmdə qazlar mübadiləsi nəyin hesabına baş verir?,Tənəffüs sistemi,Dərin nəfəs alma hesabına,Oksigenin qana sorulması hesabına,Karbon qazının xaric olması hesabına,Tənəffüs hərəkətlərinin hesabına,Tər vəzilərin hesabına,D
400,400. Orqanizmin enerji sərfini təyin etmək üçün neçə üsuldan istifadə etmək olar?,Maddələr mübadiləsi,5,3,1,4,0,B
